location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Sir Leo Hielscher Bridge (Gateway Motorway),364,5343,151.88697,"LINESTRING(153.0392305 -27.446911,153.0394681 -27.4455568)",7.913616699,1.201975262152512
Sir Leo Hielscher Bridge (Gateway Motorway),385,9612,62.80827,"LINESTRING(153.0442094 -27.4430887,153.0438987 -27.4435831)",7.913616699,0.49704057430730075
Sir Leo Hielscher Bridge (Gateway Motorway),388,41017,6.43398,"LINESTRING(153.0421056 -27.4441472,153.042147 -27.4441024)",7.913616699,0.05091605156903202
Sir Leo Hielscher Bridge (Gateway Motorway),389,388,65.44867,"LINESTRING(153.042147 -27.4441024,153.0425315 -27.4436372)",7.913616699,0.5179356878393404
Sir Leo Hielscher Bridge (Gateway Motorway),391,389,103.47,"LINESTRING(153.0425315 -27.4436372,153.0434642 -27.4440582)",7.913616699,0.81882191984553
Sir Leo Hielscher Bridge (Gateway Motorway),400,11421,39.82646,"LINESTRING(153.0372049 -27.447641,153.0376025 -27.4476989)",7.913616699,0.3151713389180555
Sir Leo Hielscher Bridge (Gateway Motorway),401,400,38.52196,"LINESTRING(153.0376025 -27.4476989,153.0379895 -27.4477395)",7.913616699,0.30484802593421007
Sir Leo Hielscher Bridge (Gateway Motorway),403,401,29.63245,"LINESTRING(153.0379895 -27.4477395,153.0382701 -27.447831)",7.913616699,0.23449985115228253
Sir Leo Hielscher Bridge (Gateway Motorway),446,450,100.68251,"LINESTRING(153.038838 -27.4220179,153.0398444 -27.4221559)",1.58341571,0.15942226805623208
Sir Leo Hielscher Bridge (Gateway Motorway),450,40960,52.36118,"LINESTRING(153.0383156 -27.4219406,153.038838 -27.4220179)",1.58341571,0.0829095150061378
Sir Leo Hielscher Bridge (Gateway Motorway),460,592,60.45077,"LINESTRING(153.0376312 -27.4218525,153.0382357 -27.4219339)",1.58341571,0.0957186988995967
Sir Leo Hielscher Bridge (Gateway Motorway),504,506,74.26385,"LINESTRING(153.034223643752 -27.4229592795023,153.0349637 -27.4230735)",1.58341571,0.1175905467750835
Sir Leo Hielscher Bridge (Gateway Motorway),506,508,14.26508,"LINESTRING(153.034081489065 -27.4229373393063,153.034223643752 -27.4229592795023)",1.58341571,0.022587551776406797
Sir Leo Hielscher Bridge (Gateway Motorway),508,511,14.49382,"LINESTRING(153.033937054982 -27.4229150473077,153.034081489065 -27.4229373393063)",1.58341571,0.0229497422859122
Sir Leo Hielscher Bridge (Gateway Motorway),510,92286,24.3361,"LINESTRING(153.0337806 -27.4228909,153.0337427 -27.4231079)",1.58341571,0.038534163060130994
Sir Leo Hielscher Bridge (Gateway Motorway),511,510,15.7001,"LINESTRING(153.0337806 -27.4228909,153.033937054982 -27.4229150473077)",1.58341571,0.024859784988571002
Sir Leo Hielscher Bridge (Gateway Motorway),536,4735,100.09022,"LINESTRING(153.0491468 -27.4226534,153.0501491 -27.4227796)",20.434440062999997,2.045287601482484
Sir Leo Hielscher Bridge (Gateway Motorway),550,551,168.96899,"LINESTRING(153.034048304707 -27.4237463498619,153.0357381 -27.4239733)",1.58341571,0.26754815326883286
Sir Leo Hielscher Bridge (Gateway Motorway),551,30503113123,61.32248674,"LINESTRING(153.035118877437 -27.4239427051237,153.0357381 -27.4239733)",1.58341571,0.09709898888038268
