location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Go Between Bridge SB,148,6591,139.94933,"LINESTRING(153.0141769 -27.4511176,153.015178 -27.4503257)",5.0933927,0.712816895791891
Go Between Bridge SB,150,151,6.2418,"LINESTRING(153.0129539 -27.4502902,153.0130164 -27.4502822)",5.0933927,0.03179193855486
Go Between Bridge SB,151,157,59.84432,"LINESTRING(153.0130164 -27.4502822,153.0134544 -27.450655)",5.0933927,0.304810622624464
Go Between Bridge SB,157,148,87.9441,"LINESTRING(153.0134544 -27.450655,153.0141769 -27.4511176)",5.0933927,0.44793383694807004
Go Between Bridge SB,1795,246589,5.70095,"LINESTRING(152.9807482 -27.49265,152.9806917 -27.4926604)",15.5865271,0.08885801167074499
Go Between Bridge SB,1801,144433,116.23568,"LINESTRING(152.9819481 -27.4923763,152.9808098 -27.4926406)",15.5865271,1.8117105763069281
Go Between Bridge SB,1929,246599,56.99429,"LINESTRING(152.9796485 -27.4928739,152.979074345987 -27.4929219634562)",15.5865271,0.8883430456302589
Go Between Bridge SB,2110,2111,71.69298,"LINESTRING(152.9722017 -27.4981789,152.9721093 -27.4988184)",15.5865271,1.117444575649758
Go Between Bridge SB,2111,30403109433,55.54804837,"LINESTRING(152.971556984274 -27.4989117658449,152.9721093 -27.4988184)",15.5865271,0.8658011612711158
Go Between Bridge SB,2113,2110,53.54776,"LINESTRING(152.9723006 -27.4977051,152.9722017 -27.4981789)",15.5865271,0.8346236123842959
Go Between Bridge SB,2324,103806,62.16049,"LINESTRING(152.9776551 -27.4932469,152.9772286 -27.4936555)",15.5865271,0.9688661619342791
Go Between Bridge SB,2325,2324,12.79608,"LINESTRING(152.9776551 -27.4932469,152.9777342 -27.4933379)",15.5865271,0.199446447693768
Go Between Bridge SB,2470,257483,68.73393,"LINESTRING(152.9731146 -27.497296,152.9737669 -27.4971351)",15.5865271,1.071323262634503
Go Between Bridge SB,2797,144439,169.00113,"LINESTRING(152.985012 -27.4909584,152.9834288 -27.4915018)",15.5865271,2.634140692675623
Go Between Bridge SB,4423,4435,43.73685,"LINESTRING(153.0121625 -27.4512776,153.0124591 -27.4509981)",5.0933927,0.22276895251099496
Go Between Bridge SB,4425,4423,18.61625,"LINESTRING(153.0121625 -27.4512776,153.0121326 -27.4514156)",5.0933927,0.094819871851375
Go Between Bridge SB,4432,150,64.92737,"LINESTRING(153.0126064 -27.4507874,153.0129539 -27.4502902)",5.0933927,0.330700592388199
Go Between Bridge SB,4435,4432,27.51648,"LINESTRING(153.0124591 -27.4509981,153.0126064 -27.4507874)",5.0933927,0.14015223836169602
Go Between Bridge SB,4635,252703,7.41792,"LINESTRING(152.9931033 -27.4862749,152.9930331 -27.4862512)",15.5865271,0.11561961110563199
Go Between Bridge SB,5637,4425,13.01587,"LINESTRING(153.0121326 -27.4514156,153.0122091 -27.4515112)",5.0933927,0.066294937242149
Go Between Bridge SB,5639,5637,65.6804,"LINESTRING(153.0122091 -27.4515112,153.012595 -27.4519937)",5.0933927,0.33453606989308
Go Between Bridge SB,5641,5639,38.62762,"LINESTRING(153.012595 -27.4519937,153.0128219 -27.4522775)",5.0933927,0.196745637726374
Go Between Bridge SB,5643,5641,94.03522,"LINESTRING(153.0128219 -27.4522775,153.0133744 -27.4529683)",5.0933927,0.47895830309089393
Go Between Bridge SB,5645,5643,25.20913,"LINESTRING(153.0133744 -27.4529683,153.0133885 -27.4531885)",5.0933927,0.128399998715351
Go Between Bridge SB,5646,208847,15.41911,"LINESTRING(153.0128689 -27.4558704,153.0127244 -27.4559228)",5.0933927,0.07853558231449699
Go Between Bridge SB,5667,5645,72.81312,"LINESTRING(153.0141174 -27.4532831,153.0133885 -27.4531885)",5.0933927,0.37086581387222395
Go Between Bridge SB,6065,156321,7.44426,"LINESTRING(153.0119652 -27.4579445,153.01201 -27.4578905)",5.0933927,0.037916539540902
Go Between Bridge SB,6465,5646,39.56096,"LINESTRING(153.012632 -27.4562659,153.0127244 -27.4559228)",5.0933927,0.20149950486899199
Go Between Bridge SB,6474,6475,12.65521,"LINESTRING(153.012569234176 -27.4572074544474,153.012576842279 -27.4570934506776)",5.0933927,0.064457954230967
Go Between Bridge SB,6475,6465,91.86346,"LINESTRING(153.012576842279 -27.4570934506776,153.012632 -27.4562659)",5.0933927,0.467896676560742
Go Between Bridge SB,6478,6474,60.93677,"LINESTRING(153.0125326 -27.4577564,153.012569234176 -27.4572074544474)",5.0933927,0.310374899479579
Go Between Bridge SB,6481,6478,53.14232,"LINESTRING(153.0124076 -27.4581941,153.0125326 -27.4577564)",5.0933927,0.27067470474906397
Go Between Bridge SB,6591,30503112620,29.42308941,"LINESTRING(153.015475378016 -27.4503146801984,153.015178 -27.4503257)",5.0933927,0.14986334881234128
Go Between Bridge SB,6836,13978,42.57511,"LINESTRING(153.0133399 -27.4556311,153.0129755 -27.4558227)",5.0933927,0.216851754475697
Go Between Bridge SB,7130,210234,57.63277,"LINESTRING(153.0139315 -27.4542113,153.014034 -27.4536993)",5.0933927,0.293546329998779
Go Between Bridge SB,7871,58655,124.10826,"LINESTRING(152.993936 -27.4848678,152.993436880328 -27.4858640709038)",15.5865271,1.934416757823846
Go Between Bridge SB,9324,156282,37.5265,"LINESTRING(153.0107705 -27.463765,153.0108358 -27.4634314)",5.0933927,0.19113720115654997
Go Between Bridge SB,13978,13979,12.33298,"LINESTRING(153.0133399 -27.4556311,153.0134532 -27.4555845)",5.0933927,0.062816710301246
Go Between Bridge SB,13978,13979,129.10542,"LINESTRING(153.0133399 -27.4556311,153.0134532 -27.4555845)",5.0933927,0.657584603758434
Go Between Bridge SB,13979,209604,94.35579,"LINESTRING(153.0134532 -27.4555845,153.0138147 -27.4548437)",5.0933927,0.48059109198873295
Go Between Bridge SB,16079,260527,8.8878,"LINESTRING(153.0142262 -27.4859068,153.0141656 -27.4858498)",15.5865271,0.13852993555937998
Go Between Bridge SB,16091,16079,7.29643,"LINESTRING(153.0142262 -27.4859068,153.0141931 -27.4859638)",15.5865271,0.113726003928253
Go Between Bridge SB,16097,292047,4.25963,"LINESTRING(153.013296 -27.4847562,153.0132547 -27.4847452)",15.5865271,0.06639283843097299
Go Between Bridge SB,16121,294551,7.74796,"LINESTRING(153.0114947 -27.4844301,153.0115073 -27.4843611)",15.5865271,0.120763788509716
Go Between Bridge SB,16151,294542,3.56106,"LINESTRING(153.0121191 -27.4845564,153.0120835 -27.484552)",15.5865271,0.055504558194726
Go Between Bridge SB,16189,294516,9.57394,"LINESTRING(153.0117276 -27.4832425,153.011743 -27.4831572)",15.5865271,0.149224475263774
Go Between Bridge SB,17109,313873,4.55212,"LINESTRING(153.0105083 -27.4795669,153.0104818 -27.4795333)",5.0933927,0.023185734777524003
Go Between Bridge SB,17112,300501,4.84724,"LINESTRING(153.0116839 -27.4791906,153.011636 -27.4791812)",5.0933927,0.024688896831148
Go Between Bridge SB,17119,290617,3.56528,"LINESTRING(153.0124251 -27.4786189,153.0124298 -27.478587)",20.6799198,0.07372970446454401
Go Between Bridge SB,17261,290504,8.59142,"LINESTRING(153.0130156 -27.4753458,153.0130029 -27.4754224)",20.6799198,0.17766987656811598
Go Between Bridge SB,17265,290620,5.21778,"LINESTRING(153.0129328 -27.4758823,153.0129226 -27.4759285)",20.6799198,0.107903271934044
Go Between Bridge SB,58557,156215,66.75672,"LINESTRING(153.0103017 -27.4676612,153.0100417 -27.4671253)",5.0933927,0.34001819032394404
