location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Go Between Bridge NB,1607,250799,8.51445,"LINESTRING(152.9462889 -27.5165234,152.9463737 -27.5165371)",13.39919617,0.11408678582965649
Go Between Bridge NB,1685,1687,17.43346,"LINESTRING(152.9382738 -27.5175651,152.9383006 -27.5174096)",13.39919617,0.2335943504618482
Go Between Bridge NB,1687,3901,58.37998,"LINESTRING(152.9383006 -27.5174096,152.9388606 -27.5173455)",13.39919617,0.7822448044206767
Go Between Bridge NB,1690,4695,10.74077,"LINESTRING(152.9398333 -27.5167333,152.939881 -27.5166462)",13.39919617,0.1439176842468509
Go Between Bridge NB,1795,144433,6.17571,"LINESTRING(152.9808098 -27.4926406,152.9807482 -27.49265)",31.35427265,0.19363489514733145
Go Between Bridge NB,1801,144430,36.78698,"LINESTRING(152.9822976 -27.4922717,152.9819481 -27.4923763)",31.35427265,1.153429000890097
Go Between Bridge NB,1929,246593,39.32419,"LINESTRING(152.980036285668 -27.4927942307778,152.9796485 -27.4928739)",31.35427265,1.2329813750004035
Go Between Bridge NB,1947,253012,5.95611,"LINESTRING(152.9807132 -27.4941394,152.9806535 -27.494132)",9.528567566,0.056753196565528255
Go Between Bridge NB,1961,89686,117.28358,"LINESTRING(152.9818822 -27.4932017,152.9816952 -27.4942458)",9.528567566,1.1175445164123663
Go Between Bridge NB,1971,1977,67.28936,"LINESTRING(152.9819627 -27.4932136,152.9825863 -27.4929697)",9.528567566,0.6411712132328978
Go Between Bridge NB,1972,1973,151.98735,"LINESTRING(152.9790297 -27.4951741,152.9796068 -27.4939717)",9.528567566,1.44822173365229
Go Between Bridge NB,1973,1947,104.94642,"LINESTRING(152.9806535 -27.494132,152.9796068 -27.4939717)",9.528567566,0.9999890537798136
Go Between Bridge NB,1977,108157,6.50317,"LINESTRING(152.9825595 -27.4929161,152.9825863 -27.4929697)",9.528567566,0.061965894738184216
Go Between Bridge NB,2050,2051,42.07404,"LINESTRING(152.9732034 -27.5070826,152.973323359847 -27.5067182877238)",9.528567566,0.4009053329145866
Go Between Bridge NB,2051,27417,44.07164,"LINESTRING(152.973323359847 -27.5067182877238,152.973743259206 -27.5068281889375)",9.528567566,0.4199395994844282
Go Between Bridge NB,2059,2396,54.45324,"LINESTRING(152.9778344 -27.4990908,152.9778737 -27.4986037)",9.528567566,0.5188613765276138
Go Between Bridge NB,2091,2093,6.86239,"LINESTRING(152.9784671 -27.4959213,152.9785281 -27.4959509)",9.528567566,0.06538874677924274
Go Between Bridge NB,2093,6167,17.61545,"LINESTRING(152.9785281 -27.4959509,152.9786158 -27.4958125)",9.528567566,0.16785000553049467
Go Between Bridge NB,2098,5906,198.36857,"LINESTRING(152.9772189 -27.5021654,152.9775542 -27.5004004)",9.528567566,1.8901683222158006
Go Between Bridge NB,2099,2098,66.95649,"LINESTRING(152.9772189 -27.5021654,152.9765809 -27.5019618)",9.528567566,0.6379994389472033
Go Between Bridge NB,2113,144473,3.50988,"LINESTRING(152.9723006 -27.4977051,152.972335264497 -27.4976981900383)",31.35427265,0.110049734488782
Go Between Bridge NB,2226,6145,52.1679,"LINESTRING(152.987016 -27.490761,152.9870854 -27.490297)",6.326192841,0.33002419551000395
Go Between Bridge NB,2241,144427,112.97971,"LINESTRING(152.9870382 -27.491052,152.9869295 -27.4920372)",6.326192841,0.7147314325802561
Go Between Bridge NB,2291,58695,7.78744,"LINESTRING(152.9863877 -27.4939329,152.9864659 -27.4939416)",6.326192841,0.04926484717771704
