location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Goodwill Bridge EB,47,328142,98.44097,"LINESTRING(153.0299332 -27.4714642,153.0305836 -27.4721359)",127.172476996,12.518981992788925
Goodwill Bridge EB,72,47,19.45421,"LINESTRING(153.0305836 -27.4721359,153.0306709 -27.472293)",127.172476996,2.474040073700353
Goodwill Bridge EB,73,72,4.24056,"LINESTRING(153.0306709 -27.472293,153.0306951 -27.4723246)",127.172476996,0.5392825190501578
Goodwill Bridge EB,77,221015,10.56835,"LINESTRING(153.028451 -27.4786953,153.0284986 -27.4786307)",5.257574829,0.05556389094406215
Goodwill Bridge EB,145,17465,107.58903,"LINESTRING(153.0156443 -27.451593,153.0165752 -27.4515465)",12.16297107,1.3086022593393618
Goodwill Bridge EB,146,153,152.88247,"LINESTRING(153.015787 -27.4516843,153.0161525 -27.4529022)",12.16297107,1.859505059720143
Goodwill Bridge EB,147,146,152.78422,"LINESTRING(153.0161525 -27.4529022,153.0159871 -27.4542656)",12.16297107,1.8583100478125152
Goodwill Bridge EB,153,145,17.35948,"LINESTRING(153.0156443 -27.451593,153.015787 -27.4516843)",12.16297107,0.21114285303024358
Goodwill Bridge EB,254,9522,67.94093,"LINESTRING(153.0236382 -27.4624645,153.0242641 -27.4627162)",16.13360144,1.0961318860829392
Goodwill Bridge EB,310,4723,45.36298,"LINESTRING(153.0245084 -27.463445,153.02465 -27.4638344)",16.13360144,0.7318682394506911
Goodwill Bridge EB,1563,266951,8.89286,"LINESTRING(153.0298641 -27.4713915,153.0298067 -27.4713297)",127.172476996,1.1309270337786486
Goodwill Bridge EB,1575,267379,8.4839,"LINESTRING(153.0276291 -27.4691515,153.0275732 -27.4690934)",43.217900149,0.36665634307410117
Goodwill Bridge EB,2039,266829,9.15396,"LINESTRING(153.0265701 -27.4740431,153.0266386 -27.4739875)",14.921826721,0.13659380493096515
Goodwill Bridge EB,3199,204004,47.93875,"LINESTRING(153.0099641 -27.5011914,153.0097478 -27.500812)",5.257574829,0.2520415653337238
Goodwill Bridge EB,3252,3255,10.77778,"LINESTRING(153.0133529 -27.5008778,153.0133008 -27.5007941)",5.257574829,0.05666498484049962
Goodwill Bridge EB,3253,3252,22.09693,"LINESTRING(153.0133008 -27.5007941,153.0132347 -27.5006036)",5.257574829,0.11617626296617498
Goodwill Bridge EB,3255,287953,7.31182,"LINESTRING(153.0134157 -27.5008429,153.0133529 -27.5008778)",5.257574829,0.03844244078617878
Goodwill Bridge EB,3291,287938,8.30024,"LINESTRING(153.0147015 -27.5006604,153.0146175 -27.5006601)",5.257574829,0.043639132898658964
Goodwill Bridge EB,3304,3305,6.57524,"LINESTRING(153.0169349 -27.4997206,153.0169967 -27.4996986)",5.257574829,0.034569816318633956
Goodwill Bridge EB,3305,68069,110.95032,"LINESTRING(153.0169967 -27.4996986,153.0175993 -27.4989133)",5.257574829,0.5833296097014953
Goodwill Bridge EB,3352,69289,9.3674,"LINESTRING(153.0002669 -27.5057242,153.0002015 -27.5057854)",5.257574829,0.0492498064531746
Goodwill Bridge EB,4012,227487,182.50672,"LINESTRING(153.031127 -27.4780803,153.029988 -27.4793315)",144.601673163,26.390777075491155
Goodwill Bridge EB,4016,105576,158.01793,"LINESTRING(153.0311488 -27.4720356,153.0311545 -27.4733568)",17.429196167,2.7541254998732745
Goodwill Bridge EB,4196,8356,109.03846,"LINESTRING(153.0288334 -27.4641925,153.029544 -27.4649451)",17.429196167,1.900452709087583
Goodwill Bridge EB,4198,210155,9.18795,"LINESTRING(153.0146248 -27.4661176,153.0146266 -27.4662005)",59.507877691999994,0.5467554048402113
Goodwill Bridge EB,4536,4539,57.3395,"LINESTRING(153.0089338 -27.4628213,153.008824 -27.4633294)",47.667768252,2.7332459976855543
Goodwill Bridge EB,4539,9822,20.88308,"LINESTRING(153.0089338 -27.4628213,153.0087261 -27.4627868)",47.667768252,0.9954498178279761
Goodwill Bridge EB,4567,4577,39.94068,"LINESTRING(153.0282333 -27.4763191,153.0285014 -27.4765888)",5.257574829,0.20999111382114372
Goodwill Bridge EB,4569,4567,6.55859,"LINESTRING(153.0285014 -27.4765888,153.0284695 -27.4766407)",5.257574829,0.03448227769773111
Goodwill Bridge EB,4573,4575,1.91558,"LINESTRING(153.028179102069 -27.4773701728769,153.0281935 -27.4773586)",5.257574829,0.01007130519093582
Goodwill Bridge EB,4575,221119,5.85064,"LINESTRING(153.0281935 -27.4773586,153.0282386 -27.4773244)",5.257574829,0.030760177597540565
Goodwill Bridge EB,4576,131945,44.467,"LINESTRING(153.0280634 -27.4761099,153.028382 -27.4758298)",5.257574829,0.233788579921143
Goodwill Bridge EB,4577,4576,28.62436,"LINESTRING(153.0280634 -27.4761099,153.0282333 -27.4763191)",5.257574829,0.15049471463223443
Goodwill Bridge EB,4723,254,84.31376,"LINESTRING(153.0242641 -27.4627162,153.0245084 -27.463445)",16.13360144,1.3602845997478143
