location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Victoria Bridge NW-side,1603,1621,98.72766,"LINESTRING(152.9457699 -27.5192923,152.9459275 -27.5184125)",2.145971786,0.21186677285780076
Victoria Bridge NW-side,1604,1605,40.67293,"LINESTRING(152.9460725 -27.5177337,152.9461499 -27.5173732)",2.145971786,0.08728296023395299
Victoria Bridge NW-side,1605,84001,91.37111,"LINESTRING(152.947061 -27.517498,152.9461499 -27.5173732)",2.145971786,0.19607982411550248
Victoria Bridge NW-side,1621,1604,76.57098,"LINESTRING(152.9459275 -27.5184125,152.9460725 -27.5177337)",2.145971786,0.16431916270637031
Victoria Bridge NW-side,1651,1603,205.81428,"LINESTRING(152.9438249 -27.5190721,152.9457699 -27.5192923)",2.145971786,0.4416716380359041
Victoria Bridge NW-side,1795,144433,6.17571,"LINESTRING(152.9808098 -27.4926406,152.9807482 -27.49265)",2.145971786,0.013252899418518059
Victoria Bridge NW-side,1801,144430,36.78698,"LINESTRING(152.9822976 -27.4922717,152.9819481 -27.4923763)",2.145971786,0.07894382117214628
Victoria Bridge NW-side,1929,246593,39.32419,"LINESTRING(152.980036285668 -27.4927942307778,152.9796485 -27.4928739)",2.145971786,0.08438860224730335
Victoria Bridge NW-side,2113,144473,3.50988,"LINESTRING(152.9723006 -27.4977051,152.972335264497 -27.4976981900383)",2.145971786,0.00753210345224568
Victoria Bridge NW-side,2324,2325,12.79608,"LINESTRING(152.9776551 -27.4932469,152.9777342 -27.4933379)",2.145971786,0.02746002665139888
Victoria Bridge NW-side,2325,246596,11.91095,"LINESTRING(152.9778241 -27.4932663,152.9777342 -27.4933379)",2.145971786,0.025560562644456702
Victoria Bridge NW-side,2470,153433,347.6901,"LINESTRING(152.9737669 -27.4971351,152.9760488 -27.4948017)",2.145971786,0.7461331448715185
Victoria Bridge NW-side,2693,310986,8.68585,"LINESTRING(152.9673977 -27.4998252,152.9674522 -27.4997637)",2.145971786,0.0186395890374281
Victoria Bridge NW-side,2797,251576,205.59724,"LINESTRING(152.985012 -27.4909584,152.9868365 -27.4901043)",2.145971786,0.4412058763194706
Victoria Bridge NW-side,3491,349582,4.28174,"LINESTRING(152.9681018 -27.4993075,152.9681375 -27.4992856)",2.145971786,0.00918849323498764
Victoria Bridge NW-side,4635,252699,13.3271,"LINESTRING(152.9932304 -27.4863151,152.9931033 -27.4862749)",2.145971786,0.0285995805892006
Victoria Bridge NW-side,4685,349570,9.17973,"LINESTRING(152.9688489 -27.4988346,152.9689228 -27.4987844)",2.145971786,0.019699441583097776
Victoria Bridge NW-side,7871,311999,134.95926,"LINESTRING(152.99496 -27.484062,152.993936 -27.4848678)",2.145971786,0.2896187642194384
Victoria Bridge NW-side,18274,49777,33.43579,"LINESTRING(152.9499645 -27.5157409,152.9500328 -27.5154934)",2.145971786,0.07175226198262094
Victoria Bridge NW-side,18606,18611,2.94618,"LINESTRING(153.019929248557 -27.473108002437,153.019916480685 -27.4730839773955)",2.145971786,0.00632241915647748
Victoria Bridge NW-side,18609,18606,7.37953,"LINESTRING(153.019916480685 -27.4730839773955,153.0198845 -27.4730238)",2.145971786,0.01583626317394058
Victoria Bridge NW-side,18609,176131,14.53328,"LINESTRING(153.0198845 -27.4730238,153.0197712 -27.4731074)",1.332496231,0.01936554082406768
Victoria Bridge NW-side,18610,29734,32.92678,"LINESTRING(153.0201153 -27.4733733,153.0199369 -27.4731224)",2.145971786,0.07065994088382908
Victoria Bridge NW-side,18611,18610,1.76556,"LINESTRING(153.0199369 -27.4731224,153.019929248557 -27.473108002437)",2.145971786,0.00378884194649016
Victoria Bridge NW-side,18621,18609,3.49404,"LINESTRING(153.0198845 -27.4730238,153.019881681765 -27.4729923688557)",3.478468017,0.01215390639011868
Victoria Bridge NW-side,18623,18621,0.0,"LINESTRING(153.019881681765 -27.4729923688557,153.019881681765 -27.4729923688556)",3.478468017,0.0
