location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Story Bridge Western-side,18,245,96.68889,"LINESTRING(153.0245055 -27.4608368,153.0235381 -27.4607077)",9.8813703,0.955418725985967
Story Bridge Western-side,25,305,49.18336,"LINESTRING(153.0271886 -27.4631447,153.0276526 -27.4629905)",11.096231964,0.545749971328919
Story Bridge Western-side,36,112792,157.52919,"LINESTRING(153.0341041 -27.4698488,153.034295 -27.4712268)",133.527067263,21.03441074901591
Story Bridge Western-side,94,24626,115.40631,"LINESTRING(153.0331106 -27.4631732,153.0341123 -27.4626849)",32.428737145999996,3.742480891979791
Story Bridge Western-side,95,94,60.32716,"LINESTRING(153.0341123 -27.4626849,153.034582 -27.4623971)",32.428737145999996,1.956333614404685
Story Bridge Western-side,115,14053,11.06944,"LINESTRING(153.0183392 -27.4606364,153.0183533 -27.4605373)",9.8813703,0.109381235653632
Story Bridge Western-side,117,115,10.85624,"LINESTRING(153.0183392 -27.4606364,153.018439 -27.4605955)",9.8813703,0.107274527505672
Story Bridge Western-side,133,221,31.1213,"LINESTRING(153.0279041 -27.456709,153.0281093 -27.456496)",36.25823938,1.128403545216794
Story Bridge Western-side,136,22290,58.63502,"LINESTRING(153.0287476 -27.455544,153.0286618 -27.4560664)",39.376990676,2.3088706358270734
Story Bridge Western-side,137,136,216.77518,"LINESTRING(153.0286618 -27.4560664,153.0303106 -27.4573562)",39.376990676,8.535954241648222
Story Bridge Western-side,205,61450,13.69183,"LINESTRING(153.0291379 -27.4548502,153.0290378 -27.4549356)",39.376990676,0.5391430622473771
Story Bridge Western-side,213,140405,7.24913,"LINESTRING(153.028959 -27.4526251,153.028934 -27.4525636)",39.376990676,0.2854489244191119
Story Bridge Western-side,218,4182,71.76792,"LINESTRING(153.0296333 -27.4580872,153.0301709 -27.4585224)",39.376990676,2.826004716675914
Story Bridge Western-side,220,223,11.81043,"LINESTRING(153.0269229 -27.4555759,153.0270128 -27.4556461)",36.25823938,0.4282253981207334
Story Bridge Western-side,221,220,143.59832,"LINESTRING(153.0270128 -27.4556461,153.0281093 -27.456496)",36.25823938,5.206622261125841
Story Bridge Western-side,223,30501111109,13.83184836,"LINESTRING(153.02682246567 -27.4556628123428,153.0269229 -27.4555759)",36.25823938,0.5015184689047404
Story Bridge Western-side,232,237,86.42865,"LINESTRING(153.0299487 -27.4593432,153.0306159 -27.4598473)",36.25823938,3.133750680990237
Story Bridge Western-side,233,232,29.52656,"LINESTRING(153.0306159 -27.4598473,153.030854 -27.4600082)",36.25823938,1.0705810805479328
Story Bridge Western-side,235,233,106.70228,"LINESTRING(153.030854 -27.4600082,153.0316812 -27.4606225)",36.25823938,3.868836810631786
Story Bridge Western-side,236,22295,17.44009,"LINESTRING(153.0289814 -27.45876,153.029093 -27.4586381)",36.25823938,0.6323469580287443
Story Bridge Western-side,237,236,115.14984,"LINESTRING(153.029093 -27.4586381,153.0299487 -27.4593432)",36.25823938,4.175130463288699
Story Bridge Western-side,245,9519,91.06509,"LINESTRING(153.0235381 -27.4607077,153.0226287 -27.4605762)",9.8813703,0.8998478756928271
Story Bridge Western-side,262,14497,63.05904,"LINESTRING(153.0303498 -27.4617361,153.0297259 -27.4616212)",25.12647125,1.5844511556126
Story Bridge Western-side,262,197129,47.68558,"LINESTRING(153.0299592 -27.4619878,153.0303498 -27.4617361)",11.096231964,0.5291302570178791
Story Bridge Western-side,264,30501111110,24.86443841,"LINESTRING(153.029156854407 -27.4604496816973,153.0289531 -27.4603181)",15.24510095,0.3790608736255075
Story Bridge Western-side,266,264,79.00609,"LINESTRING(153.0289531 -27.4603181,153.0296504 -27.4606255)",15.24510095,1.2044558177147855
Story Bridge Western-side,274,297,45.29525,"LINESTRING(153.0276716 -27.4613305,153.0272199 -27.4612617)",9.8813703,0.447579138081075
Story Bridge Western-side,276,301,11.98478,"LINESTRING(153.0252103 -27.4609606,153.0250909 -27.4609418)",9.8813703,0.11842604914403401
Story Bridge Western-side,286,9443,60.01519,"LINESTRING(153.0214405 -27.4603931,153.020841 -27.4603074)",9.8813703,0.593032316014857
Story Bridge Western-side,297,6387,58.97632,"LINESTRING(153.0272199 -27.4612617,153.026634 -27.4611615)",9.8813703,0.582766856851296
