i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
153103,268786,30402108717,30403109301,22.0068172,50,0.088818822,32.89586,network,"LINESTRING(152.9395226 -27.5072573,152.9392071 -27.5071638)",30402108717_30403109301,Walter Taylor Bridge
268786,345881,30402108717,30403109301,22.0068172,51,0.0630423,23.349,network,"LINESTRING(152.9397434 -27.5072235,152.9395226 -27.5072573)",30402108717_30403109301,Walter Taylor Bridge
345881,3499,30402108717,30403109301,22.0068172,52,0.029795283,11.03529,network,"LINESTRING(152.9398284 -27.5072881,152.9397434 -27.5072235)",30402108717_30403109301,Walter Taylor Bridge
3499,246185,30402108717,30403109301,22.0068172,53,0.022533822,8.34586,network,"LINESTRING(152.9398994 -27.5073289,152.9398284 -27.5072881)",30402108717_30403109301,Walter Taylor Bridge
246185,345847,30402108717,30403109301,22.0068172,54,0.019573218,7.24934,network,"LINESTRING(152.9398994 -27.5073289,152.9399637 -27.5073184)",30402108717_30403109301,Walter Taylor Bridge
345847,345849,30402108717,30403109301,22.0068172,55,0.617883525,228.84575,network,"LINESTRING(152.9399637 -27.5073184,152.9422427 -27.507413)",30402108717_30403109301,Walter Taylor Bridge
345849,92711,30402108717,30403109301,22.0068172,56,0.44901459,166.3017,network,"LINESTRING(152.9422427 -27.507413,152.943663 -27.5081767)",30402108717_30403109301,Walter Taylor Bridge
92711,44596,30402108717,30403109301,22.0068172,57,0.02493309,8.31103,network,"LINESTRING(152.943663 -27.5081767,152.9436767 -27.5081027)",30402108717_30403109301,Walter Taylor Bridge
44596,44594,30402108717,30403109301,22.0068172,58,0.32603472,108.67824,network,"LINESTRING(152.9436767 -27.5081027,152.9447361 -27.507907)",30402108717_30403109301,Walter Taylor Bridge
44594,44595,30402108717,30403109301,22.0068172,59,0.47672724,158.90908,network,"LINESTRING(152.9447361 -27.507907,152.9462389 -27.5075915)",30402108717_30403109301,Walter Taylor Bridge
44595,44789,30402108717,30403109301,22.0068172,60,0.02125329,7.08443,network,"LINESTRING(152.9462389 -27.5075915,152.9462462 -27.5075279)",30402108717_30403109301,Walter Taylor Bridge
44789,345857,30402108717,30403109301,22.0068172,61,0.289045611,107.05393,network,"LINESTRING(152.9472011 -27.5074247,152.9462462 -27.5075279)",30402108717_30403109301,Walter Taylor Bridge
345857,157149,30402108717,30403109301,22.0068172,62,0.025598025,9.48075,network,"LINESTRING(152.947292 -27.5073973,152.9472011 -27.5074247)",30402108717_30403109301,Walter Taylor Bridge
157149,157153,30402108717,30403109301,22.0068172,63,0.050633343,18.75309,network,"LINESTRING(152.9474342 -27.5072904,152.947292 -27.5073973)",30402108717_30403109301,Walter Taylor Bridge
157153,314667,30402108717,30403109301,22.0068172,64,0.020095047,7.44261,network,"LINESTRING(152.9474879 -27.5072433,152.9474342 -27.5072904)",30402108717_30403109301,Walter Taylor Bridge
314667,314665,30402108717,30403109301,22.0068172,65,0.120972393,44.80459,network,"LINESTRING(152.9479116 -27.5072305,152.9474879 -27.5072433)",30402108717_30403109301,Walter Taylor Bridge
314665,314663,30402108717,30403109301,22.0068172,66,0.165875985,61.43555,network,"LINESTRING(152.9485182 -27.5071487,152.9479116 -27.5072305)",30402108717_30403109301,Walter Taylor Bridge
314663,250581,30402108717,30403109301,22.0068172,67,0.199845657,74.01691,network,"LINESTRING(152.9492576 -27.5071117,152.9485182 -27.5071487)",30402108717_30403109301,Walter Taylor Bridge
250581,169205,30402108717,30403109301,22.0068172,68,0.026684181,9.88303,network,"LINESTRING(152.9493567 -27.5071238,152.9492576 -27.5071117)",30402108717_30403109301,Walter Taylor Bridge
169205,250578,30402108717,30403109301,22.0068172,69,0.033444171,12.38673,network,"LINESTRING(152.9494809 -27.507139,152.9493567 -27.5071238)",30402108717_30403109301,Walter Taylor Bridge
250578,157105,30402108717,30403109301,22.0068172,70,0.022046526,8.16538,network,"LINESTRING(152.9494809 -27.507139,152.9495631 -27.5071466)",30402108717_30403109301,Walter Taylor Bridge
157105,314674,30402108717,30403109301,22.0068172,71,0.012625929,4.67627,network,"LINESTRING(152.9495631 -27.5071466,152.9496103 -27.5071497)",30402108717_30403109301,Walter Taylor Bridge
314674,314675,30402108717,30403109301,22.0068172,72,0.031547286,11.68418,network,"LINESTRING(152.9496103 -27.5071497,152.9497237 -27.5071796)",30402108717_30403109301,Walter Taylor Bridge
314675,224609,30402108717,30403109301,22.0068172,73,0.133911765,49.59695,network,"LINESTRING(152.9497237 -27.5071796,152.950205 -27.5073067)",30402108717_30403109301,Walter Taylor Bridge
224609,206694,30402108717,30403109301,22.0068172,74,0.014842584,8.24588,network,"LINESTRING(152.9501394 -27.5073527,152.950205 -27.5073067)",30402108717_30403109301,Walter Taylor Bridge
206694,206695,30402108717,30403109301,22.0068172,75,0.15502554,34.45012,network,"LINESTRING(152.9501394 -27.5073527,152.9504721 -27.5074457)",30402108717_30403109301,Walter Taylor Bridge
206695,44480,30402108717,30403109301,22.0068172,76,0.06757011,15.01558,network,"LINESTRING(152.9504721 -27.5074457,152.9506137 -27.5074949)",30402108717_30403109301,Walter Taylor Bridge
44480,44569,30402108717,30403109301,22.0068172,77,0.055350405,12.30009,network,"LINESTRING(152.9505693 -27.5075986,152.9506137 -27.5074949)",30402108717_30403109301,Walter Taylor Bridge
44569,44567,30402108717,30403109301,22.0068172,78,0.14902587,49.67529,network,"LINESTRING(152.9506337 -27.5080286,152.9505693 -27.5075986)",30402108717_30403109301,Walter Taylor Bridge
44567,103776,30402108717,30403109301,22.0068172,79,0.02569305,8.56435,network,"LINESTRING(152.9507201 -27.5080224,152.9506337 -27.5080286)",30402108717_30403109301,Walter Taylor Bridge
103776,103779,30402108717,30403109301,22.0068172,80,0.02198379,7.32793,network,"LINESTRING(152.9507876 -27.5079976,152.9507201 -27.5080224)",30402108717_30403109301,Walter Taylor Bridge
103779,103775,30402108717,30403109301,22.0068172,81,0.42637368,142.12456,network,"LINESTRING(152.9520738 -27.5080692,152.9507876 -27.5079976)",30402108717_30403109301,Walter Taylor Bridge
103775,349706,30402108717,30403109301,22.0068172,82,0.206749017,76.57371,network,"LINESTRING(152.952797 -27.5083002,152.9520738 -27.5080692)",30402108717_30403109301,Walter Taylor Bridge
349706,342995,30402108717,30403109301,22.0068172,83,0.208473129,77.21227,network,"LINESTRING(152.952797 -27.5083002,152.9535287 -27.5085412)",30402108717_30403109301,Walter Taylor Bridge
342995,44921,30402108717,30403109301,22.0068172,84,0.003447927,1.27701,network,"LINESTRING(152.9535335 -27.5085305,152.9535287 -27.5085412)",30402108717_30403109301,Walter Taylor Bridge
44921,342971,30402108717,30403109301,22.0068172,85,0.040490172,14.99636,network,"LINESTRING(152.9535335 -27.5085305,152.9536724 -27.508511)",30402108717_30403109301,Walter Taylor Bridge
342971,169182,30402108717,30403109301,22.0068172,86,0.337922577,125.15651,network,"LINESTRING(152.9536724 -27.508511,152.9549251 -27.5084541)",30402108717_30403109301,Walter Taylor Bridge
169182,342197,30402108717,30403109301,22.0068172,87,0.023797287,8.81381,network,"LINESTRING(152.9549251 -27.5084541,152.9550143 -27.5084549)",30402108717_30403109301,Walter Taylor Bridge
342197,227455,30402108717,30403109301,22.0068172,88,0.26894214,99.6082,network,"LINESTRING(152.9550143 -27.5084549,152.9559215 -27.5080714)",30402108717_30403109301,Walter Taylor Bridge
227455,227459,30402108717,30403109301,22.0068172,89,0.04404321,16.3123,network,"LINESTRING(152.9559215 -27.5080714,152.9560746 -27.5080534)",30402108717_30403109301,Walter Taylor Bridge
227459,246534,30402108717,30403109301,22.0068172,90,0.374230449,138.60387,network,"LINESTRING(152.9560746 -27.5080534,152.9574427 -27.5078566)",30402108717_30403109301,Walter Taylor Bridge
246534,206689,30402108717,30403109301,22.0068172,91,0.103906854,38.48402,network,"LINESTRING(152.9574427 -27.5078566,152.9577708 -27.5077729)",30402108717_30403109301,Walter Taylor Bridge
206689,342961,30402108717,30403109301,22.0068172,92,0.012797325,4.73975,network,"LINESTRING(152.9577708 -27.5077729,152.9577917 -27.5077344)",30402108717_30403109301,Walter Taylor Bridge
342961,206685,30402108717,30403109301,22.0068172,93,0.019141353,7.08939,network,"LINESTRING(152.9577917 -27.5077344,152.9578612 -27.5077185)",30402108717_30403109301,Walter Taylor Bridge
206685,342974,30402108717,30403109301,22.0068172,94,0.016276248,6.02824,network,"LINESTRING(152.9578612 -27.5077185,152.9579182 -27.5076991)",30402108717_30403109301,Walter Taylor Bridge
