location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Walter Taylor Bridge,94,95,60.32716,"LINESTRING(153.0341123 -27.4626849,153.034582 -27.4623971)",9.430101135,0.5688912199873265
Walter Taylor Bridge,95,241347,2.65077,"LINESTRING(153.034582 -27.4623971,153.0345847 -27.4623733)",9.430101135,0.02499702918562395
Walter Taylor Bridge,353,359,9.5778,"LINESTRING(153.032161226909 -27.4445612431755,153.032075606839 -27.4446016128868)",6.733466797,0.06449179828830659
Walter Taylor Bridge,359,204433,33.75475,"LINESTRING(153.032445787104 -27.4443971630768,153.032161226909 -27.4445612431755)",6.733466797,0.22728648836603577
Walter Taylor Bridge,419,40974,314.74992,"LINESTRING(153.0348126 -27.440094,153.0370666 -27.4381344)",6.733466797,2.119358135678406
Walter Taylor Bridge,443,231519,262.79194,"LINESTRING(153.041964 -27.4248721,153.0423598 -27.422527)",6.733466797,1.7695008025092163
Walter Taylor Bridge,1342,14756,94.52979,"LINESTRING(153.0262712 -27.3927285,153.0272127 -27.3928752)",6.733466797,0.6365132022923826
Walter Taylor Bridge,1815,168976,106.50517,"LINESTRING(152.9790824 -27.4907567,152.9793072 -27.4898167)",10.18556824,1.084815676947801
Walter Taylor Bridge,1829,2479,9.10376,"LINESTRING(152.9781072 -27.4894075,152.9781167 -27.4893258)",10.18556824,0.09272696872058239
Walter Taylor Bridge,1835,1829,128.55364,"LINESTRING(152.9781072 -27.4894075,152.9793293 -27.4897241)",10.18556824,1.3093918727203937
Walter Taylor Bridge,1947,253012,5.95611,"LINESTRING(152.9807132 -27.4941394,152.9806535 -27.494132)",32.144828003,0.19145813151694832
Walter Taylor Bridge,1956,7776,9.92708,"LINESTRING(152.9781835 -27.4942354,152.9782237 -27.4943175)",10.18556824,0.1011129507639392
Walter Taylor Bridge,1961,89686,117.28358,"LINESTRING(152.9818822 -27.4932017,152.9816952 -27.4942458)",32.144828003,3.770060506676091
Walter Taylor Bridge,1971,1977,67.28936,"LINESTRING(152.9819627 -27.4932136,152.9825863 -27.4929697)",32.144828003,2.1630049036319483
Walter Taylor Bridge,1972,1973,151.98735,"LINESTRING(152.9790297 -27.4951741,152.9796068 -27.4939717)",32.144828003,4.885607224381762
Walter Taylor Bridge,1972,2094,112.77544,"LINESTRING(152.9782814 -27.4944282,152.9790297 -27.4951741)",10.18556824,1.1486819399160257
Walter Taylor Bridge,1973,1947,104.94642,"LINESTRING(152.9806535 -27.494132,152.9796068 -27.4939717)",32.144828003,3.3734846204305993
Walter Taylor Bridge,1977,108157,6.50317,"LINESTRING(152.9825595 -27.4929161,152.9825863 -27.4929697)",32.144828003,0.2090432811242695
Walter Taylor Bridge,2050,2051,42.07404,"LINESTRING(152.9732034 -27.5070826,152.973323359847 -27.5067182877238)",76.566508399,3.2214623370398616
Walter Taylor Bridge,2051,27417,44.07164,"LINESTRING(152.973323359847 -27.5067182877238,152.973743259206 -27.5068281889375)",114.29251554100001,5.0370585996173585
Walter Taylor Bridge,2055,2057,29.80695,"LINESTRING(152.97385721569 -27.5050969932554,152.9739422 -27.5048389)",13.56445264,0.4043149616178481
