location_desc,i_node,j_node,length_metres,WKT,demand,person_km
William Jolly Bridge,4198,210155,9.18795,"LINESTRING(153.0146248 -27.4661176,153.0146266 -27.4662005)",19.260858399,0.17696780392709205
William Jolly Bridge,6665,6673,17.52841,"LINESTRING(153.0229335 -27.4458731,153.0228998 -27.4460284)",11.07387671,0.19410745126233112
William Jolly Bridge,6666,121887,133.35746,"LINESTRING(153.0230993 -27.4449785,153.0244459 -27.4450493)",11.07387671,1.4767840703987567
William Jolly Bridge,6667,6666,8.36571,"LINESTRING(153.0230993 -27.4449785,153.0230843 -27.4450528)",11.07387671,0.09264084113161411
William Jolly Bridge,6668,6670,72.86348,"LINESTRING(153.0239646 -27.4471674,153.0243388 -27.4477339)",11.07387671,0.8068811941815508
William Jolly Bridge,6669,6668,41.92283,"LINESTRING(153.0243388 -27.4477339,153.0246566 -27.4479724)",11.07387671,0.46424825075428927
William Jolly Bridge,6670,6677,28.78386,"LINESTRING(153.0237098 -27.4470436,153.0239646 -27.4471674)",11.07387671,0.31874891687790063
William Jolly Bridge,6673,6667,92.11235,"LINESTRING(153.0230843 -27.4450528,153.0229335 -27.4458731)",11.07387671,1.0200408073683687
William Jolly Bridge,6677,6665,139.35488,"LINESTRING(153.0228998 -27.4460284,153.0237098 -27.4470436)",11.07387671,1.543198760056845
William Jolly Bridge,6695,23477,167.04297,"LINESTRING(153.0249391 -27.4438516,153.0251044 -27.4423528)",11.07387671,1.8498132550522286
William Jolly Bridge,6696,6698,50.86681,"LINESTRING(153.0249168 -27.4438738,153.0246218 -27.4442499)",11.07387671,0.5632927825709951
William Jolly Bridge,6697,6696,90.634,"LINESTRING(153.0246218 -27.4442499,153.0244674 -27.4450517)",11.07387671,1.00366974173414
William Jolly Bridge,6698,6695,3.30332,"LINESTRING(153.0249391 -27.4438516,153.0249168 -27.4438738)",11.07387671,0.036580558413677196
William Jolly Bridge,6700,6709,3.4065,"LINESTRING(153.0248602 -27.4482505,153.0248366 -27.4482729)",11.07387671,0.037723161012615
William Jolly Bridge,6705,209093,13.36737,"LINESTRING(153.0246959 -27.4480107,153.0247873 -27.4480996)",11.07387671,0.1480286073169527
William Jolly Bridge,6707,6705,7.39895,"LINESTRING(153.0247873 -27.4480996,153.0248518 -27.4481315)",11.07387671,0.08193506008345451
William Jolly Bridge,6709,6707,14.15802,"LINESTRING(153.0248518 -27.4481315,153.0248602 -27.4482505)",11.07387671,0.15678416793771421
William Jolly Bridge,6759,58463,3.54642,"LINESTRING(153.028708269648 -27.4506392405428,153.028743234793 -27.4506330006202)",8.186981689,0.029034475601503375
William Jolly Bridge,6763,58473,8.431,"LINESTRING(153.028786047889 -27.4506099232028,153.028850518412 -27.4505601148721)",8.186981689,0.06902444261995899
William Jolly Bridge,6822,58457,6.96747,"LINESTRING(153.0275452 -27.450371,153.0274749 -27.4503755)",8.186981689,0.05704254930865683
William Jolly Bridge,6917,338254,3.65685,"LINESTRING(153.0271145 -27.4456977,153.0271514 -27.4456954)",8.186981689,0.02993856398941965
William Jolly Bridge,6919,6923,49.84086,"LINESTRING(153.0270792 -27.4457862,153.0269956 -27.4462297)",8.186981689,0.40804620818401255
William Jolly Bridge,6920,30503112614,1.856936067,"LINESTRING(153.026054920473 -27.4465567541853,153.0260737 -27.4465571)",8.186981689,0.015202701578172675
William Jolly Bridge,6923,121337,28.12962,"LINESTRING(153.0269956 -27.4462297,153.0267124 -27.4462267)",8.186981689,0.23029668385852814
William Jolly Bridge,6965,337540,5.54732,"LINESTRING(153.0291893 -27.4477965,153.0291817 -27.4478461)",8.186981689,0.045415807263023474
William Jolly Bridge,7085,7104,9.86083,"LINESTRING(153.0260975 -27.4419383,153.0261847 -27.4419815)",11.07387671,0.1091976156782693
William Jolly Bridge,7097,7085,56.99052,"LINESTRING(153.0259722 -27.4424375,153.0260975 -27.4419383)",11.07387671,0.6311059921187891
William Jolly Bridge,7104,7105,106.66019,"LINESTRING(153.0261847 -27.4419815,153.0266903 -27.4411312)",11.07387671,1.181141793925175
William Jolly Bridge,7105,30503113004,67.54369227,"LINESTRING(153.026459371284 -27.4405575347361,153.0266903 -27.4411312)",11.07387671,0.74797052073616
William Jolly Bridge,9417,10813,78.54393,"LINESTRING(153.015750889298 -27.4588664486291,153.0154238 -27.459504)",19.260858399,1.512823513830968
William Jolly Bridge,10813,33132,319.13468,"LINESTRING(153.0187336141 -27.4579736371856,153.015750889298 -27.4588664486291)",19.260858399,6.146807881690178
William Jolly Bridge,10817,236640,31.26263,"LINESTRING(153.0160595 -27.4657633,153.015941 -27.4655158)",19.260858399,0.6021450896103293
William Jolly Bridge,10837,236725,12.53435,"LINESTRING(153.014886346789 -27.4602128728087,153.0149697 -27.4601341)",19.260858399,0.24142234047350564
William Jolly Bridge,16079,260527,8.8878,"LINESTRING(153.0142262 -27.4859068,153.0141656 -27.4858498)",11.07387671,0.098422401423138
William Jolly Bridge,16091,16079,7.29643,"LINESTRING(153.0142262 -27.4859068,153.0141931 -27.4859638)",11.07387671,0.0807997662431453
William Jolly Bridge,16097,292047,4.25963,"LINESTRING(153.013296 -27.4847562,153.0132547 -27.4847452)",11.07387671,0.0471706174502173
William Jolly Bridge,16121,294551,7.74796,"LINESTRING(153.0114947 -27.4844301,153.0115073 -27.4843611)",11.07387671,0.0857999537940116
William Jolly Bridge,16151,294542,3.56106,"LINESTRING(153.0121191 -27.4845564,153.0120835 -27.484552)",11.07387671,0.0394347393969126
William Jolly Bridge,16189,294516,9.57394,"LINESTRING(153.0117276 -27.4832425,153.011743 -27.4831572)",11.07387671,0.1060206311889374
William Jolly Bridge,17109,313873,4.55212,"LINESTRING(153.0105083 -27.4795669,153.0104818 -27.4795333)",8.186981689,0.037268123086130686
William Jolly Bridge,17112,300501,4.84724,"LINESTRING(153.0116839 -27.4791906,153.011636 -27.4791812)",8.186981689,0.03968426512218836
William Jolly Bridge,17119,290617,3.56528,"LINESTRING(153.0124251 -27.4786189,153.0124298 -27.478587)",19.260858399,0.06867035323278672
William Jolly Bridge,17261,290504,8.59142,"LINESTRING(153.0130156 -27.4753458,153.0130029 -27.4754224)",19.260858399,0.16547812406633655
William Jolly Bridge,17265,290620,5.21778,"LINESTRING(153.0129328 -27.4758823,153.0129226 -27.4759285)",19.260858399,0.10049892173713422
William Jolly Bridge,23477,7097,86.30563,"LINESTRING(153.0251044 -27.4423528,153.0259722 -27.4424375)",11.07387671,0.9557379059988773
William Jolly Bridge,33132,33143,90.79912,"LINESTRING(153.018513141272 -27.4572935236081,153.0187336141 -27.4579736371856)",19.260858399,1.7488689930738088
William Jolly Bridge,33135,215613,14.96603,"LINESTRING(153.0187055 -27.4568013,153.018554141643 -27.4568044812826)",19.260858399,0.28825858462518594
William Jolly Bridge,33136,33139,18.1924,"LINESTRING(153.018534756206 -27.4569023858833,153.01851071137 -27.4570646475766)",19.260858399,0.3504012403379676
William Jolly Bridge,33137,33136,14.34523,"LINESTRING(153.01851071137 -27.4570646475766,153.018512085711 -27.457194098799)",19.260858399,0.2763014437310868
William Jolly Bridge,33139,33135,11.01682,"LINESTRING(153.018554141643 -27.4568044812826,153.018534756206 -27.4569023858833)",19.260858399,0.21219341002727116
William Jolly Bridge,33143,33137,11.01783,"LINESTRING(153.018512085711 -27.457194098799,153.018513141272 -27.4572935236081)",19.260858399,0.21221286349425417
William Jolly Bridge,51505,9417,49.62157,"LINESTRING(153.0154238 -27.459504,153.0152648 -27.4599216)",19.260858399,0.9557540333060663
William Jolly Bridge,51542,51505,3.80535,"LINESTRING(153.015269442603 -27.4599556903208,153.0152648 -27.4599216)",19.260858399,0.07329430750863465
William Jolly Bridge,51546,51542,7.08365,"LINESTRING(153.015278084808 -27.4600191494386,153.015269442603 -27.4599556903208)",19.260858399,0.13643717959807633
William Jolly Bridge,51551,51555,4.8552,"LINESTRING(153.015306602098 -27.4602281791868,153.015300628895 -27.4601846891343)",19.260858399,0.09351531969882479
William Jolly Bridge,51555,51557,5.90453,"LINESTRING(153.015300628895 -27.4601846891343,153.015293425251 -27.460131793271)",19.260858399,0.11372631624264747
William Jolly Bridge,51557,51546,12.57392,"LINESTRING(153.015293425251 -27.460131793271,153.015278084808 -27.4600191494386)",19.260858399,0.24218449264035405
William Jolly Bridge,58457,121296,55.42708,"LINESTRING(153.0281037 -27.4503359,153.0275452 -27.450371)",8.186981689,0.45378048903473805
William Jolly Bridge,58463,6763,4.98583,"LINESTRING(153.028743234793 -27.4506330006202,153.028786047889 -27.4506099232028)",8.186981689,0.04081889891446687
William Jolly Bridge,58473,156544,14.06876,"LINESTRING(153.028850518412 -27.4505601148721,153.0289581 -27.450477)",8.186981689,0.11518068050693563
William Jolly Bridge,58501,236638,35.75516,"LINESTRING(153.015929219143 -27.4654424232186,153.015875 -27.4651234)",19.260858399,0.6886750737935887
William Jolly Bridge,58509,236606,82.02886,"LINESTRING(153.0149751 -27.4660144,153.0157889 -27.4658809)",19.260858399,1.5799462570913951
William Jolly Bridge,58513,58543,11.62818,"LINESTRING(153.014644 -27.4665229,153.0145556 -27.4664567)",19.260858399,0.22396872841808382
William Jolly Bridge,58519,245097,4.27327,"LINESTRING(153.0151273 -27.4671848,153.0151118 -27.4671488)",19.260858399,0.08230684837069473
William Jolly Bridge,58522,245469,5.15235,"LINESTRING(153.014566 -27.4663424,153.0145243 -27.4663145)",19.260858399,0.09923868377208765
William Jolly Bridge,58523,245470,8.22608,"LINESTRING(153.0145515 -27.4663044,153.0146283 -27.4662758)",19.260858399,0.15844136205884593
William Jolly Bridge,58543,58522,12.78895,"LINESTRING(153.0145556 -27.4664567,153.014566 -27.4663424)",19.260858399,0.24632615502189106
William Jolly Bridge,90314,311137,4.3843,"LINESTRING(153.0106138 -27.4790327,153.0106574 -27.47904)",8.186981689,0.035894183819082694
William Jolly Bridge,94426,94451,8.38026,"LINESTRING(153.026112198243 -27.4501589222863,153.026191763235 -27.4501328258193)",11.07387671,0.09280196603774461
William Jolly Bridge,94431,219333,20.04289,"LINESTRING(153.0261865 -27.4504913,153.0260207 -27.4504905)",8.186981689,0.1640907734246412
William Jolly Bridge,94447,121893,7.38005,"LINESTRING(153.0253612 -27.4496545,153.0253653 -27.449588)",11.07387671,0.0817257638136355
William Jolly Bridge,94448,94426,13.83827,"LINESTRING(153.0259954 -27.4502198,153.026112198243 -27.4501589222863)",11.07387671,0.1532432958596917
William Jolly Bridge,94451,94457,20.94768,"LINESTRING(153.026191763235 -27.4501328258193,153.0263438 -27.4500157)",11.07387671,0.2319720256805328
William Jolly Bridge,94457,94459,47.19505,"LINESTRING(153.0263438 -27.4500157,153.0260675 -27.4497317)",11.07387671,0.5226321650222855
William Jolly Bridge,94459,220523,15.75623,"LINESTRING(153.0259093 -27.4497144,153.0260675 -27.4497317)",11.07387671,0.1744825484344033
William Jolly Bridge,95351,294536,3.27905,"LINESTRING(153.0116172 -27.483763,153.0116106 -27.483792)",11.07387671,0.0363117954259255
William Jolly Bridge,95623,300739,7.70353,"LINESTRING(153.0126525 -27.4772119,153.0126658 -27.4771434)",19.260858399,0.14837660050244847
William Jolly Bridge,109561,305494,16.60721,"LINESTRING(153.0119513 -27.4808551,153.0120642 -27.480966)",11.07387671,0.18390619603707908
