i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
30503112501,1122,30503112501,30501111208,9.8813703,1,0.0,45.33071256,connector,"LINESTRING(153.065157537583 -27.4146743624933,153.0647188 -27.4147929)",30503112501_30501111208,William Jolly Bridge
1122,838,30503112501,30501111208,9.8813703,2,0.23400072,78.00024,network,"LINESTRING(153.0647188 -27.4147929,153.0646062 -27.4154896)",30503112501_30501111208,William Jolly Bridge
838,1125,30503112501,30501111208,9.8813703,3,0.07898058,26.32686,network,"LINESTRING(153.0646062 -27.4154896,153.0645078 -27.4157046)",30503112501_30501111208,William Jolly Bridge
1125,106197,30503112501,30501111208,9.8813703,4,0.53346651,177.82217,network,"LINESTRING(153.0645078 -27.4157046,153.0627373 -27.415445)",30503112501_30501111208,William Jolly Bridge
106197,106195,30503112501,30501111208,9.8813703,5,0.0368337,12.2779,network,"LINESTRING(153.0627373 -27.415445,153.0626447 -27.4155037)",30503112501_30501111208,William Jolly Bridge
106195,36725,30503112501,30501111208,9.8813703,6,0.34970538,116.56846,network,"LINESTRING(153.0624609 -27.4165428,153.0626447 -27.4155037)",30503112501_30501111208,William Jolly Bridge
36725,834,30503112501,30501111208,9.8813703,7,0.02216478,7.38826,network,"LINESTRING(153.0624609 -27.4165428,153.0623871 -27.4165324)",30503112501_30501111208,William Jolly Bridge
834,836,30503112501,30501111208,9.8813703,8,0.30461334,101.53778,network,"LINESTRING(153.0623871 -27.4165324,153.0613728 -27.4163898)",30503112501_30501111208,William Jolly Bridge
836,699,30503112501,30501111208,9.8813703,9,0.28577931,95.25977,network,"LINESTRING(153.0613728 -27.4163898,153.0604212 -27.4162561)",30503112501_30501111208,William Jolly Bridge
699,824,30503112501,30501111208,9.8813703,10,0.01673139,5.57713,network,"LINESTRING(153.0604212 -27.4162561,153.0603655 -27.4162482)",30503112501_30501111208,William Jolly Bridge
824,36721,30503112501,30501111208,9.8813703,11,0.28111329,93.70443,network,"LINESTRING(153.0603655 -27.4162482,153.0594299 -27.4161141)",30503112501_30501111208,William Jolly Bridge
36721,282415,30503112501,30501111208,9.8813703,12,0.05341077,17.80359,network,"LINESTRING(153.0592923 -27.4160962,153.0594299 -27.4161141)",30503112501_30501111208,William Jolly Bridge
282415,282418,30503112501,30501111208,9.8813703,13,0.09486063,31.62021,network,"LINESTRING(153.0592923 -27.4160962,153.0589764 -27.416052)",30503112501_30501111208,William Jolly Bridge
282418,10727,30503112501,30501111208,9.8813703,14,0.18110139,60.36713,network,"LINESTRING(153.0589764 -27.416052,153.0583732 -27.4159682)",30503112501_30501111208,William Jolly Bridge
10727,114581,30503112501,30501111208,9.8813703,15,0.092577,15.4295,network,"LINESTRING(153.0583524 -27.4161062,153.0583732 -27.4159682)",30503112501_30501111208,William Jolly Bridge
114581,4457,30503112501,30501111208,9.8813703,16,0.96961968,161.60328,network,"LINESTRING(153.0573338 -27.4171608,153.0583524 -27.4161062)",30503112501_30501111208,William Jolly Bridge
4457,114585,30503112501,30501111208,9.8813703,17,0.25829574,43.04929,network,"LINESTRING(153.0569797 -27.4173868,153.0573338 -27.4171608)",30503112501_30501111208,William Jolly Bridge
114585,114520,30503112501,30501111208,9.8813703,18,0.09044094,15.07349,network,"LINESTRING(153.0568503 -27.4174587,153.0569797 -27.4173868)",30503112501_30501111208,William Jolly Bridge
114520,114582,30503112501,30501111208,9.8813703,19,0.0609891,10.16485,network,"LINESTRING(153.0567634 -27.4175077,153.0568503 -27.4174587)",30503112501_30501111208,William Jolly Bridge
114582,4459,30503112501,30501111208,9.8813703,20,0.0494901,8.24835,network,"LINESTRING(153.0566927 -27.4175472,153.0567634 -27.4175077)",30503112501_30501111208,William Jolly Bridge
4459,4458,30503112501,30501111208,9.8813703,21,0.13750767,45.83589,network,"LINESTRING(153.0563401 -27.4172787,153.0566927 -27.4175472)",30503112501_30501111208,William Jolly Bridge
4458,4463,30503112501,30501111208,9.8813703,22,0.20945109,69.81703,network,"LINESTRING(153.0557281 -27.4169664,153.0563401 -27.4172787)",30503112501_30501111208,William Jolly Bridge
4463,4461,30503112501,30501111208,9.8813703,23,0.39678471,132.26157,network,"LINESTRING(153.0544495 -27.4166529,153.0557281 -27.4169664)",30503112501_30501111208,William Jolly Bridge
4461,4460,30503112501,30501111208,9.8813703,24,0.65991405,219.97135,network,"LINESTRING(153.0522547 -27.4163297,153.0544495 -27.4166529)",30503112501_30501111208,William Jolly Bridge
4460,9405,30503112501,30501111208,9.8813703,25,0.07835883,26.11961,network,"LINESTRING(153.052214 -27.4165626,153.0522547 -27.4163297)",30503112501_30501111208,William Jolly Bridge
9405,106599,30503112501,30501111208,9.8813703,26,0.30839838,102.79946,network,"LINESTRING(153.052214 -27.4165626,153.0511862 -27.4164234)",30503112501_30501111208,William Jolly Bridge
106599,793,30503112501,30501111208,9.8813703,27,0.76316592,254.38864,network,"LINESTRING(153.0511862 -27.4164234,153.0486474 -27.4160529)",30503112501_30501111208,William Jolly Bridge
793,9253,30503112501,30501111208,9.8813703,28,0.15173178,50.57726,network,"LINESTRING(153.0486474 -27.4160529,153.0481396 -27.4160325)",30503112501_30501111208,William Jolly Bridge
9253,5149,30503112501,30501111208,9.8813703,29,0.09208008,30.69336,network,"LINESTRING(153.0480837 -27.4163049,153.0481396 -27.4160325)",30503112501_30501111208,William Jolly Bridge
5149,5148,30503112501,30501111208,9.8813703,30,0.34346082,114.48694,network,"LINESTRING(153.0470077 -27.4166472,153.0480837 -27.4163049)",30503112501_30501111208,William Jolly Bridge
5148,802,30503112501,30501111208,9.8813703,31,0.36886704,122.95568,network,"LINESTRING(153.0458747 -27.4171043,153.0470077 -27.4166472)",30503112501_30501111208,William Jolly Bridge
802,806,30503112501,30501111208,9.8813703,32,0.63471156,211.57052,network,"LINESTRING(153.0446695 -27.4185925,153.0458747 -27.4171043)",30503112501_30501111208,William Jolly Bridge
806,542,30503112501,30501111208,9.8813703,33,0.32050935,106.83645,network,"LINESTRING(153.0442879 -27.4194945,153.0446695 -27.4185925)",30503112501_30501111208,William Jolly Bridge
542,5107,30503112501,30501111208,9.8813703,34,0.11113467,37.04489,network,"LINESTRING(153.044146 -27.4198039,153.0442879 -27.4194945)",30503112501_30501111208,William Jolly Bridge
5107,104098,30503112501,30501111208,9.8813703,35,0.48600966,162.00322,network,"LINESTRING(153.044146 -27.4198039,153.0433148 -27.4208408)",30503112501_30501111208,William Jolly Bridge
104098,104077,30503112501,30501111208,9.8813703,36,0.030223341,11.19383,network,"LINESTRING(153.0433148 -27.4208408,153.0433 -27.42076)",30503112501_30501111208,William Jolly Bridge
104077,104075,30503112501,30501111208,9.8813703,37,0.0363744,13.472,network,"LINESTRING(153.043169 -27.4207266,153.0433 -27.42076)",30503112501_30501111208,William Jolly Bridge
104075,104074,30503112501,30501111208,9.8813703,38,0.023714937,8.78331,network,"LINESTRING(153.0430836 -27.4207048,153.043169 -27.4207266)",30503112501_30501111208,William Jolly Bridge
104074,104093,30503112501,30501111208,9.8813703,39,0.003063906,1.13478,network,"LINESTRING(153.0430836 -27.4207048,153.0430725 -27.4207022)",30503112501_30501111208,William Jolly Bridge
104093,10689,30503112501,30501111208,9.8813703,40,0.05528709,20.4767,network,"LINESTRING(153.0430725 -27.4207022,153.0429613 -27.4208009)",30503112501_30501111208,William Jolly Bridge
10689,104097,30503112501,30501111208,9.8813703,41,0.035364411,13.09793,network,"LINESTRING(153.0429613 -27.4208009,153.0428316 -27.4207769)",30503112501_30501111208,William Jolly Bridge
104097,36314,30503112501,30501111208,9.8813703,42,0.04965138,27.5841,network,"LINESTRING(153.0427158 -27.4210015,153.0428316 -27.4207769)",30503112501_30501111208,William Jolly Bridge
36314,38571,30503112501,30501111208,9.8813703,43,0.233148546,129.52697,network,"LINESTRING(153.0424547 -27.4221463,153.0427158 -27.4210015)",30503112501_30501111208,William Jolly Bridge
38571,231519,30503112501,30501111208,9.8813703,44,0.07785621,43.25345,network,"LINESTRING(153.0423598 -27.422527,153.0424547 -27.4221463)",30503112501_30501111208,William Jolly Bridge
231519,443,30503112501,30501111208,9.8813703,45,0.473025492,262.79194,network,"LINESTRING(153.041964 -27.4248721,153.0423598 -27.422527)",30503112501_30501111208,William Jolly Bridge
443,219155,30503112501,30501111208,9.8813703,46,0.11902374,66.1243,network,"LINESTRING(153.0419316 -27.4254318,153.041964 -27.4248721)",30503112501_30501111208,William Jolly Bridge
219155,231503,30503112501,30501111208,9.8813703,47,0.629799606,349.88867,network,"LINESTRING(153.0407097 -27.4281892,153.0419316 -27.4254318)",30503112501_30501111208,William Jolly Bridge
231503,231499,30503112501,30501111208,9.8813703,48,0.087015168,48.34176,network,"LINESTRING(153.0403828 -27.4285136,153.0407097 -27.4281892)",30503112501_30501111208,William Jolly Bridge
231499,231497,30503112501,30501111208,9.8813703,49,0.031764222,17.64679,network,"LINESTRING(153.0402616 -27.4286305,153.0403828 -27.4285136)",30503112501_30501111208,William Jolly Bridge
231497,104103,30503112501,30501111208,9.8813703,50,0.126395118,70.21951,network,"LINESTRING(153.0397919 -27.4291058,153.0402616 -27.4286305)",30503112501_30501111208,William Jolly Bridge
104103,231500,30503112501,30501111208,9.8813703,51,0.14028588,77.9366,network,"LINESTRING(153.0392682 -27.4296296,153.0397919 -27.4291058)",30503112501_30501111208,William Jolly Bridge
231500,5281,30503112501,30501111208,9.8813703,52,0.072633168,40.35176,network,"LINESTRING(153.0389177 -27.4297069,153.0392682 -27.4296296)",30503112501_30501111208,William Jolly Bridge
5281,40950,30503112501,30501111208,9.8813703,53,0.091020492,50.56694,network,"LINESTRING(153.038786616171 -27.4300212237107,153.0389177 -27.4297069)",30503112501_30501111208,William Jolly Bridge
40950,8265,30503112501,30501111208,9.8813703,54,0.09285552,51.5864,network,"LINESTRING(153.0386972 -27.4304795,153.038786616171 -27.4300212237107)",30503112501_30501111208,William Jolly Bridge
8265,8221,30503112501,30501111208,9.8813703,55,0.532650996,295.91722,network,"LINESTRING(153.03817 -27.4331037,153.0386972 -27.4304795)",30503112501_30501111208,William Jolly Bridge
8221,8208,30503112501,30501111208,9.8813703,56,0.235204596,130.66922,network,"LINESTRING(153.0374728 -27.4340919,153.03817 -27.4331037)",30503112501_30501111208,William Jolly Bridge
8208,218953,30503112501,30501111208,9.8813703,57,0.193418046,107.45447,network,"LINESTRING(153.0368346 -27.4348761,153.0374728 -27.4340919)",30503112501_30501111208,William Jolly Bridge
218953,109469,30503112501,30501111208,9.8813703,58,0.026846856,14.91492,network,"LINESTRING(153.0368148 -27.4350088,153.0368346 -27.4348761)",30503112501_30501111208,William Jolly Bridge
109469,218959,30503112501,30501111208,9.8813703,59,0.234268992,130.14944,network,"LINESTRING(153.0366322 -27.4361143,153.0368148 -27.4350088)",30503112501_30501111208,William Jolly Bridge
218959,40973,30503112501,30501111208,9.8813703,60,0.445535406,247.51967,network,"LINESTRING(153.0372817 -27.4379163,153.0366322 -27.4361143)",30503112501_30501111208,William Jolly Bridge
40973,40974,30503112501,30501111208,9.8813703,61,0.058813362,32.67409,network,"LINESTRING(153.0370666 -27.4381344,153.0372817 -27.4379163)",30503112501_30501111208,William Jolly Bridge
40974,419,30503112501,30501111208,9.8813703,62,0.566549856,314.74992,network,"LINESTRING(153.0348126 -27.440094,153.0370666 -27.4381344)",30503112501_30501111208,William Jolly Bridge
419,215511,30503112501,30501111208,9.8813703,63,0.279577746,155.32097,network,"LINESTRING(153.0337021 -27.4410695,153.0348126 -27.440094)",30503112501_30501111208,William Jolly Bridge
215511,215509,30503112501,30501111208,9.8813703,64,0.328184946,182.32497,network,"LINESTRING(153.0325066 -27.4422355,153.0337021 -27.4410695)",30503112501_30501111208,William Jolly Bridge
215509,215507,30503112501,30501111208,9.8813703,65,0.017991324,9.99518,network,"LINESTRING(153.0324865 -27.4423239,153.0325066 -27.4422355)",30503112501_30501111208,William Jolly Bridge
215509,215507,30503112501,30501111208,9.8813703,65,0.054538623,20.19949,network,"LINESTRING(153.0325066 -27.4422355,153.0324865 -27.4423239)",30503112501_30501111208,William Jolly Bridge
215507,204426,30503112501,30501111208,9.8813703,66,0.149536476,83.07582,network,"LINESTRING(153.0323648 -27.4430639,153.0324865 -27.4423239)",30503112501_30501111208,William Jolly Bridge
204426,204427,30503112501,30501111208,9.8813703,67,0.160549902,89.19439,network,"LINESTRING(153.0323648 -27.4430639,153.032598788768 -27.4438369160158)",30503112501_30501111208,William Jolly Bridge
204427,204429,30503112501,30501111208,9.8813703,68,0.0,0.0,network,"LINESTRING(153.032598788768 -27.4438369160158,153.032598788768 -27.4438369160159)",30503112501_30501111208,William Jolly Bridge
204429,120705,30503112501,30501111208,9.8813703,69,0.047802636,26.55702,network,"LINESTRING(153.032598788768 -27.4438369160159,153.032608167738 -27.4440762583368)",30503112501_30501111208,William Jolly Bridge
120705,155183,30503112501,30501111208,9.8813703,70,0.019476594,10.82033,network,"LINESTRING(153.032608167738 -27.4440762583368,153.032601201094 -27.4441736568081)",30503112501_30501111208,William Jolly Bridge
155183,183834,30503112501,30501111208,9.8813703,71,0.03219381,17.88545,network,"LINESTRING(153.032601201094 -27.4441736568081,153.032525098052 -27.4443165188379)",30503112501_30501111208,William Jolly Bridge
183834,204433,30503112501,30501111208,9.8813703,72,0.021416598,11.89811,network,"LINESTRING(153.032525098052 -27.4443165188379,153.032445787104 -27.4443971630768)",30503112501_30501111208,William Jolly Bridge
204433,359,30503112501,30501111208,9.8813703,73,0.06075855,33.75475,network,"LINESTRING(153.032445787104 -27.4443971630768,153.032161226909 -27.4445612431755)",30503112501_30501111208,William Jolly Bridge
359,353,30503112501,30501111208,9.8813703,74,0.01724004,9.5778,network,"LINESTRING(153.032161226909 -27.4445612431755,153.032075606839 -27.4446016128868)",30503112501_30501111208,William Jolly Bridge
353,204465,30503112501,30501111208,9.8813703,75,0.0,0.0,network,"LINESTRING(153.032075606839 -27.4446016128868,153.032075606839 -27.4446016128869)",30503112501_30501111208,William Jolly Bridge
204465,150161,30503112501,30501111208,9.8813703,76,0.01776483,9.86935,network,"LINESTRING(153.032075606839 -27.4446016128869,153.031982270534 -27.444632510864)",30503112501_30501111208,William Jolly Bridge
150161,204453,30503112501,30501111208,9.8813703,77,0.016653528,9.25196,network,"LINESTRING(153.031982270534 -27.444632510864,153.031889760899 -27.4446439411135)",30503112501_30501111208,William Jolly Bridge
204453,204479,30503112501,30501111208,9.8813703,78,0.14022909,77.90505,network,"LINESTRING(153.031889760899 -27.4446439411135,153.0322236 -27.4452758)",30503112501_30501111208,William Jolly Bridge
204479,120775,30503112501,30501111208,9.8813703,79,0.100397214,55.77623,network,"LINESTRING(153.0322236 -27.4452758,153.031819105927 -27.4455679865634)",30503112501_30501111208,William Jolly Bridge
120775,204490,30503112501,30501111208,9.8813703,80,0.06247962,34.7109,network,"LINESTRING(153.031819105927 -27.4455679865634,153.031551054802 -27.4457702960515)",30503112501_30501111208,William Jolly Bridge
204490,204488,30503112501,30501111208,9.8813703,81,0.037723554,20.95753,network,"LINESTRING(153.031551054802 -27.4457702960515,153.031393711186 -27.4458969971829)",30503112501_30501111208,William Jolly Bridge
204488,94410,30503112501,30501111208,9.8813703,82,0.191616642,106.45369,network,"LINESTRING(153.031393711186 -27.4458969971829,153.0311172 -27.4467972)",30503112501_30501111208,William Jolly Bridge
94410,94411,30503112501,30501111208,9.8813703,83,0.134085276,74.49182,network,"LINESTRING(153.0311172 -27.4467972,153.0310031 -27.4473548)",30503112501_30501111208,William Jolly Bridge
94411,94408,30503112501,30501111208,9.8813703,84,0.145362492,80.75694,network,"LINESTRING(153.0310031 -27.4473548,153.0308347 -27.4480669)",30503112501_30501111208,William Jolly Bridge
94408,44775,30503112501,30501111208,9.8813703,85,0.003067344,1.70408,network,"LINESTRING(153.0308347 -27.4480669,153.0308309 -27.4480819)",30503112501_30501111208,William Jolly Bridge
44775,94415,30503112501,30501111208,9.8813703,86,0.0858285,47.6825,network,"LINESTRING(153.0308309 -27.4480819,153.0304318 -27.4481117)",30503112501_30501111208,William Jolly Bridge
94415,94417,30503112501,30501111208,9.8813703,87,0.029182572,16.21254,network,"LINESTRING(153.0304318 -27.4481117,153.0303066 -27.4482062)",30503112501_30501111208,William Jolly Bridge
94417,204497,30503112501,30501111208,9.8813703,88,0.121598658,67.55481,network,"LINESTRING(153.0303066 -27.4482062,153.0300773 -27.4487778)",30503112501_30501111208,William Jolly Bridge
204497,204499,30503112501,30501111208,9.8813703,89,0.14033025,77.96125,network,"LINESTRING(153.0300773 -27.4487778,153.0295641 -27.4493112)",30503112501_30501111208,William Jolly Bridge
204499,156547,30503112501,30501111208,9.8813703,90,0.015642882,8.69049,network,"LINESTRING(153.0295641 -27.4493112,153.0294992 -27.4493641)",30503112501_30501111208,William Jolly Bridge
156547,156545,30503112501,30501111208,9.8813703,91,0.091363608,50.75756,network,"LINESTRING(153.0291926 -27.4497053,153.0294992 -27.4493641)",30503112501_30501111208,William Jolly Bridge
156545,156544,30503112501,30501111208,9.8813703,92,0.168398694,93.55483,network,"LINESTRING(153.0289581 -27.450477,153.0291926 -27.4497053)",30503112501_30501111208,William Jolly Bridge
156544,58473,30503112501,30501111208,9.8813703,93,0.025323768,14.06876,network,"LINESTRING(153.028850518412 -27.4505601148721,153.0289581 -27.450477)",30503112501_30501111208,William Jolly Bridge
58473,6763,30503112501,30501111208,9.8813703,94,0.0151758,8.431,network,"LINESTRING(153.028786047889 -27.4506099232028,153.028850518412 -27.4505601148721)",30503112501_30501111208,William Jolly Bridge
6763,58463,30503112501,30501111208,9.8813703,95,0.008974494,4.98583,network,"LINESTRING(153.028743234793 -27.4506330006202,153.028786047889 -27.4506099232028)",30503112501_30501111208,William Jolly Bridge
58463,6759,30503112501,30501111208,9.8813703,96,0.006383556,3.54642,network,"LINESTRING(153.028708269648 -27.4506392405428,153.028743234793 -27.4506330006202)",30503112501_30501111208,William Jolly Bridge
6759,296558,30503112501,30501111208,9.8813703,97,0.012190896,6.77272,network,"LINESTRING(153.0286436 -27.4506224,153.028708269648 -27.4506392405428)",30503112501_30501111208,William Jolly Bridge
