i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
30501110703,342416,30501110703,30501110531,88.58646478,1,0.0,23.9284829,connector,"LINESTRING(153.014462801612 -27.4861640126836,153.0142956 -27.4863202)",30501110703_30501110531,Victoria Bridge NW-side
342416,313489,30501110703,30501110531,88.58646478,2,1.76153967,5.93111,network,"LINESTRING(153.0142956 -27.4863202,153.0142364 -27.4863114)",30501110703_30501110531,Victoria Bridge NW-side
313489,300053,30501110703,30501110531,88.58646478,3,0.101840733,37.71879,network,"LINESTRING(153.0142364 -27.4863114,153.0143015 -27.485976)",30501110703_30501110531,Victoria Bridge NW-side
300053,16091,30501110703,30501110531,88.58646478,4,0.029156112,10.79856,network,"LINESTRING(153.0141931 -27.4859638,153.0143015 -27.485976)",30501110703_30501110531,Victoria Bridge NW-side
16091,16079,30501110703,30501110531,88.58646478,5,0.02188929,7.29643,network,"LINESTRING(153.0142262 -27.4859068,153.0141931 -27.4859638)",30501110703_30501110531,Victoria Bridge NW-side
16079,260527,30501110703,30501110531,88.58646478,6,0.0266634,8.8878,network,"LINESTRING(153.0142262 -27.4859068,153.0141656 -27.4858498)",30501110703_30501110531,Victoria Bridge NW-side
260527,313477,30501110703,30501110531,88.58646478,7,0.011584431,4.29053,network,"LINESTRING(153.0141656 -27.4858498,153.0141804 -27.4858134)",30501110703_30501110531,Victoria Bridge NW-side
313477,313479,30501110703,30501110531,88.58646478,8,0.271643841,100.60883,network,"LINESTRING(153.0141804 -27.4858134,153.0131776 -27.4856956)",30501110703_30501110531,Victoria Bridge NW-side
313479,285195,30501110703,30501110531,88.58646478,9,0.233133066,86.34558,network,"LINESTRING(153.0131776 -27.4856956,153.013313 -27.4849258)",30501110703_30501110531,Victoria Bridge NW-side
285195,306554,30501110703,30501110531,88.58646478,10,0.030105054,11.15002,network,"LINESTRING(153.013313 -27.4849258,153.0133298 -27.4848263)",30501110703_30501110531,Victoria Bridge NW-side
