location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Eleanor Schonell Bridge (UQ Green Bridge),77,221015,10.56835,"LINESTRING(153.028451 -27.4786953,153.0284986 -27.4786307)",5.257574829,0.05556389094406215
Eleanor Schonell Bridge (UQ Green Bridge),1607,250799,8.51445,"LINESTRING(152.9462889 -27.5165234,152.9463737 -27.5165371)",65.35138641,0.5564311120186245
Eleanor Schonell Bridge (UQ Green Bridge),1685,1687,17.43346,"LINESTRING(152.9382738 -27.5175651,152.9383006 -27.5174096)",65.35138641,1.1393007809232787
Eleanor Schonell Bridge (UQ Green Bridge),1687,3901,58.37998,"LINESTRING(152.9383006 -27.5174096,152.9388606 -27.5173455)",65.35138641,3.8152126315880723
Eleanor Schonell Bridge (UQ Green Bridge),1690,4695,10.74077,"LINESTRING(152.9398333 -27.5167333,152.939881 -27.5166462)",65.35138641,0.7019242106109358
Eleanor Schonell Bridge (UQ Green Bridge),1829,2479,9.10376,"LINESTRING(152.9781072 -27.4894075,152.9781167 -27.4893258)",7.393825378,0.06731161172322127
Eleanor Schonell Bridge (UQ Green Bridge),1868,1869,73.29807,"LINESTRING(152.9828672 -27.4887824,152.9829615 -27.4881263)",7.393825378,0.5419531301244204
Eleanor Schonell Bridge (UQ Green Bridge),1869,1871,3.09259,"LINESTRING(152.9829615 -27.4881263,152.982968 -27.488099)",7.393825378,0.02286607042574902
Eleanor Schonell Bridge (UQ Green Bridge),1871,1873,5.92356,"LINESTRING(152.982968 -27.488099,152.9829804 -27.4880467)",7.393825378,0.04379776825610568
Eleanor Schonell Bridge (UQ Green Bridge),1873,104208,487.08118,"LINESTRING(152.9868826 -27.4895523,152.9829804 -27.4880467)",7.393825378,3.601393189830186
Eleanor Schonell Bridge (UQ Green Bridge),1897,1901,22.94341,"LINESTRING(152.9800517 -27.4895008,152.9802171 -27.4893555)",7.393825378,0.16963956711585898
Eleanor Schonell Bridge (UQ Green Bridge),1901,259948,113.17204,"LINESTRING(152.9802171 -27.4893555,152.9811779 -27.4888418)",7.393825378,0.8367743014320311
Eleanor Schonell Bridge (UQ Green Bridge),1904,1905,42.0864,"LINESTRING(152.9822825 -27.4889043,152.9827055 -27.4888602)",7.393825378,0.31117949238865916
