i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
30501111112,287,30501111112,30501111032,7.913616699,1,0.0,48.43287713,connector,"LINESTRING(153.022254217717 -27.4586681045308,153.0217664 -27.4586272)",30501111112_30501111032,Kurilpa Bridge
287,286,30501111112,30501111032,7.913616699,2,0.59494434,198.31478,network,"LINESTRING(153.0214405 -27.4603931,153.0217664 -27.4586272)",30501111112_30501111032,Kurilpa Bridge
286,193719,30501111112,30501111032,7.913616699,3,0.04922103,16.40701,network,"LINESTRING(153.0216041 -27.4604181,153.0214405 -27.4603931)",30501111112_30501111032,Kurilpa Bridge
193719,193718,30501111112,30501111032,7.913616699,4,0.53321046,177.73682,network,"LINESTRING(153.0213241 -27.4620025,153.0216041 -27.4604181)",30501111112_30501111032,Kurilpa Bridge
193718,6385,30501111112,30501111032,7.913616699,5,0.02787066,9.29022,network,"LINESTRING(153.0213447 -27.4620843,153.0213241 -27.4620025)",30501111112_30501111032,Kurilpa Bridge
6385,156120,30501111112,30501111032,7.913616699,6,0.17772693,59.24231,network,"LINESTRING(153.021141 -27.4625871,153.0213447 -27.4620843)",30501111112_30501111032,Kurilpa Bridge
156120,9520,30501111112,30501111032,7.913616699,7,0.14084964,46.94988,network,"LINESTRING(153.0209686 -27.4629819,153.021141 -27.4625871)",30501111112_30501111032,Kurilpa Bridge
9520,34471,30501111112,30501111032,7.913616699,8,0.17938773,59.79591,network,"LINESTRING(153.0207507 -27.4634853,153.0209686 -27.4629819)",30501111112_30501111032,Kurilpa Bridge
34471,101802,30501111112,30501111032,7.913616699,9,0.04262295,14.20765,network,"LINESTRING(153.0206989 -27.4636049,153.0207507 -27.4634853)",30501111112_30501111032,Kurilpa Bridge
101802,101803,30501111112,30501111032,7.913616699,10,0.09766467,32.55489,network,"LINESTRING(153.0206989 -27.4636049,153.0207495 -27.4638952)",30501111112_30501111032,Kurilpa Bridge
101803,101813,30501111112,30501111032,7.913616699,11,0.11247654,37.49218,network,"LINESTRING(153.0207495 -27.4638952,153.0207031 -27.464231)",30501111112_30501111032,Kurilpa Bridge
101813,101804,30501111112,30501111032,7.913616699,12,0.02995089,9.98363,network,"LINESTRING(153.0207031 -27.464231,153.0206915 -27.4643205)",30501111112_30501111032,Kurilpa Bridge
101804,101806,30501111112,30501111032,7.913616699,13,0.02953779,9.84593,network,"LINESTRING(153.0207478 -27.4643938,153.0206915 -27.4643205)",30501111112_30501111032,Kurilpa Bridge
101806,156124,30501111112,30501111032,7.913616699,14,0.020176182,7.47266,network,"LINESTRING(153.0207417 -27.464461,153.0207478 -27.4643938)",30501111112_30501111032,Kurilpa Bridge
156124,101815,30501111112,30501111032,7.913616699,15,0.020124936,7.45368,network,"LINESTRING(153.0207458 -27.4645277,153.0207417 -27.464461)",30501111112_30501111032,Kurilpa Bridge
101815,112489,30501111112,30501111032,7.913616699,16,0.013988214,5.18082,network,"LINESTRING(153.0207592 -27.4645729,153.0207458 -27.4645277)",30501111112_30501111032,Kurilpa Bridge
112489,112491,30501111112,30501111032,7.913616699,17,0.4943565,183.095,network,"LINESTRING(153.0216468 -27.4658646,153.0207592 -27.4645729)",30501111112_30501111032,Kurilpa Bridge
112491,294620,30501111112,30501111032,7.913616699,18,0.125365374,46.43162,network,"LINESTRING(153.0219581 -27.4661784,153.0216468 -27.4658646)",30501111112_30501111032,Kurilpa Bridge
294620,204109,30501111112,30501111032,7.913616699,19,0.016721235,6.19305,network,"LINESTRING(153.0219581 -27.4661784,153.0219098 -27.466214)",30501111112_30501111032,Kurilpa Bridge
204109,294631,30501111112,30501111032,7.913616699,20,0.022773474,8.43462,network,"LINESTRING(153.0219098 -27.466214,153.0218433 -27.4662617)",30501111112_30501111032,Kurilpa Bridge
294631,110385,30501111112,30501111032,7.913616699,21,0.067131045,24.86335,network,"LINESTRING(153.0220055 -27.4664332,153.0218433 -27.4662617)",30501111112_30501111032,Kurilpa Bridge
110385,110387,30501111112,30501111032,7.913616699,22,0.336446568,124.60984,network,"LINESTRING(153.0220055 -27.4664332,153.0227834 -27.4672997)",30501111112_30501111032,Kurilpa Bridge
110387,143411,30501111112,30501111032,7.913616699,23,0.022803093,8.44559,network,"LINESTRING(153.0227834 -27.4672997,153.0228204 -27.4673684)",30501111112_30501111032,Kurilpa Bridge
143411,132245,30501111112,30501111032,7.913616699,24,0.01718754,5.72918,network,"LINESTRING(153.0228204 -27.4673684,153.0228777 -27.4673606)",30501111112_30501111032,Kurilpa Bridge
132245,132243,30501111112,30501111032,7.913616699,25,0.02497575,8.32525,network,"LINESTRING(153.022870391406 -27.4674349229168,153.0228777 -27.4673606)",30501111112_30501111032,Kurilpa Bridge
132243,132242,30501111112,30501111032,7.913616699,26,0.01373301,4.57767,network,"LINESTRING(153.0228557 -27.4674741,153.022870391406 -27.4674349229168)",30501111112_30501111032,Kurilpa Bridge
132242,139987,30501111112,30501111032,7.913616699,27,0.05883729,19.61243,network,"LINESTRING(153.022702535589 -27.4675866192356,153.0228557 -27.4674741)",30501111112_30501111032,Kurilpa Bridge
139987,139986,30501111112,30501111032,7.913616699,28,0.05087448,28.2636,network,"LINESTRING(153.0224551 -27.4676824,153.022702535589 -27.4675866192356)",30501111112_30501111032,Kurilpa Bridge
139986,121857,30501111112,30501111032,7.913616699,29,0.019875996,11.04222,network,"LINESTRING(153.0224551 -27.4676824,153.0223905 -27.4677637)",30501111112_30501111032,Kurilpa Bridge
121857,316333,30501111112,30501111032,7.913616699,30,0.011085732,6.15874,network,"LINESTRING(153.0223905 -27.4677637,153.022352 -27.4678074)",30501111112_30501111032,Kurilpa Bridge
316333,178285,30501111112,30501111032,7.913616699,31,0.0288171,10.673,network,"LINESTRING(153.0222514 -27.4677724,153.022352 -27.4678074)",30501111112_30501111032,Kurilpa Bridge
178285,112517,30501111112,30501111032,7.913616699,32,0.173989917,64.44071,network,"LINESTRING(153.021667 -27.4675146,153.0222514 -27.4677724)",30501111112_30501111032,Kurilpa Bridge
112517,193693,30501111112,30501111032,7.913616699,33,0.117439443,43.49609,network,"LINESTRING(153.0212601 -27.4673816,153.021667 -27.4675146)",30501111112_30501111032,Kurilpa Bridge
193693,143394,30501111112,30501111032,7.913616699,34,0.012613968,4.67184,network,"LINESTRING(153.0212167 -27.4673649,153.0212601 -27.4673816)",30501111112_30501111032,Kurilpa Bridge
143394,143395,30501111112,30501111032,7.913616699,35,0.093281742,51.82319,network,"LINESTRING(153.0212167 -27.4673649,153.0209316 -27.4677159)",30501111112_30501111032,Kurilpa Bridge
143395,125695,30501111112,30501111032,7.913616699,36,0.069037056,38.35392,network,"LINESTRING(153.0209316 -27.4677159,153.0206643 -27.4679428)",30501111112_30501111032,Kurilpa Bridge
125695,143386,30501111112,30501111032,7.913616699,37,0.01214181,6.74545,network,"LINESTRING(153.0206643 -27.4679428,153.0206119 -27.4679818)",30501111112_30501111032,Kurilpa Bridge
143386,143387,30501111112,30501111032,7.913616699,38,0.00673146,3.7397,network,"LINESTRING(153.0206119 -27.4679818,153.0205837 -27.4680043)",30501111112_30501111032,Kurilpa Bridge
143387,143389,30501111112,30501111032,7.913616699,39,0.149631948,83.12886,network,"LINESTRING(153.0205837 -27.4680043,153.0199558 -27.4685034)",30501111112_30501111032,Kurilpa Bridge
143389,143369,30501111112,30501111032,7.913616699,40,0.016847298,9.35961,network,"LINESTRING(153.0199558 -27.4685034,153.0198766 -27.4685497)",30501111112_30501111032,Kurilpa Bridge
143369,143368,30501111112,30501111032,7.913616699,41,0.1200366,66.687,network,"LINESTRING(153.019385381851 -27.4689591260839,153.0198766 -27.4685497)",30501111112_30501111032,Kurilpa Bridge
143368,143370,30501111112,30501111032,7.913616699,42,0.007764156,4.31342,network,"LINESTRING(153.019350029302 -27.4689819488285,153.019385381851 -27.4689591260839)",30501111112_30501111032,Kurilpa Bridge
143370,143377,30501111112,30501111032,7.913616699,43,0.033968664,18.87148,network,"LINESTRING(153.01918642881 -27.46906646589,153.019350029302 -27.4689819488285)",30501111112_30501111032,Kurilpa Bridge
143377,143357,30501111112,30501111032,7.913616699,44,0.002076408,1.15356,network,"LINESTRING(153.019175397264 -27.4690698644001,153.01918642881 -27.46906646589)",30501111112_30501111032,Kurilpa Bridge
143357,143356,30501111112,30501111032,7.913616699,45,0.025726464,14.29248,network,"LINESTRING(153.019038717402 -27.4691119716346,153.019175397264 -27.4690698644001)",30501111112_30501111032,Kurilpa Bridge
143356,143366,30501111112,30501111032,7.913616699,46,0.011049048,6.13836,network,"LINESTRING(153.01898001587 -27.4691300559312,153.019038717402 -27.4691119716346)",30501111112_30501111032,Kurilpa Bridge
143366,129162,30501111112,30501111032,7.913616699,47,0.014223384,7.90188,network,"LINESTRING(153.018904449694 -27.469153335752,153.01898001587 -27.4691300559312)",30501111112_30501111032,Kurilpa Bridge
129162,111228,30501111112,30501111032,7.913616699,48,0.020053872,11.14104,network,"LINESTRING(153.018797907199 -27.4691861585081,153.018904449694 -27.469153335752)",30501111112_30501111032,Kurilpa Bridge
111228,113557,30501111112,30501111032,7.913616699,49,0.31506678,175.0371,network,"LINESTRING(153.017124011562 -27.4697018388351,153.018797907199 -27.4691861585081)",30501111112_30501111032,Kurilpa Bridge
113557,113561,30501111112,30501111032,7.913616699,50,0.014520042,8.06669,network,"LINESTRING(153.017124011562 -27.4697018388351,153.0171363 -27.4697708)",30501111112_30501111032,Kurilpa Bridge
113561,125722,30501111112,30501111032,7.913616699,51,0.022060458,12.25581,network,"LINESTRING(153.0171363 -27.4697708,153.0170368 -27.4698368)",30501111112_30501111032,Kurilpa Bridge
125722,215313,30501111112,30501111032,7.913616699,52,0.151481718,84.15651,network,"LINESTRING(153.0170368 -27.4698368,153.0163992 -27.4703387)",30501111112_30501111032,Kurilpa Bridge
215313,176216,30501111112,30501111032,7.913616699,53,0.012138714,6.74373,network,"LINESTRING(153.0163992 -27.4703387,153.0163574 -27.4703868)",30501111112_30501111032,Kurilpa Bridge
176216,176251,30501111112,30501111032,7.913616699,54,0.02996805,9.98935,network,"LINESTRING(153.0162647 -27.4704143,153.0163574 -27.4703868)",30501111112_30501111032,Kurilpa Bridge
176251,176247,30501111112,30501111032,7.913616699,55,0.06169155,20.56385,network,"LINESTRING(153.0160895167 -27.470514031053,153.0162647 -27.4704143)",30501111112_30501111032,Kurilpa Bridge
176247,176241,30501111112,30501111032,7.913616699,56,0.0,0.0,network,"LINESTRING(153.0160895167 -27.4705140310531,153.0160895167 -27.470514031053)",30501111112_30501111032,Kurilpa Bridge
176241,176221,30501111112,30501111032,7.913616699,57,0.019432521,7.19723,network,"LINESTRING(153.016126517611 -27.4705699717438,153.0160895167 -27.4705140310531)",30501111112_30501111032,Kurilpa Bridge
176221,240721,30501111112,30501111032,7.913616699,58,0.008331822,3.08586,network,"LINESTRING(153.016142382014 -27.4705939567123,153.016126517611 -27.4705699717438)",30501111112_30501111032,Kurilpa Bridge
240721,199328,30501111112,30501111032,7.913616699,59,0.022936716,8.49508,network,"LINESTRING(153.016142382014 -27.4705939567123,153.016066865784 -27.4706305655948)",30501111112_30501111032,Kurilpa Bridge
199328,94611,30501111112,30501111032,7.913616699,60,0.5540013,123.1114,network,"LINESTRING(153.016066865784 -27.4706305655948,153.0167091 -27.4715825)",30501111112_30501111032,Kurilpa Bridge
94611,30501111032,30501111112,30501111032,7.913616699,61,0.0,13.67199653,connector,"LINESTRING(153.016844415246 -27.4715568897394,153.0167091 -27.4715825)",30501111112_30501111032,Kurilpa Bridge
30501111112,287,30501111112,30501111204,6.306274689,1,0.0,48.43287713,connector,"LINESTRING(153.022254217717 -27.4586681045308,153.0217664 -27.4586272)",30501111112_30501111204,Kurilpa Bridge
287,286,30501111112,30501111204,6.306274689,2,0.59494434,198.31478,network,"LINESTRING(153.0214405 -27.4603931,153.0217664 -27.4586272)",30501111112_30501111204,Kurilpa Bridge
286,193719,30501111112,30501111204,6.306274689,3,0.04922103,16.40701,network,"LINESTRING(153.0216041 -27.4604181,153.0214405 -27.4603931)",30501111112_30501111204,Kurilpa Bridge
193719,193718,30501111112,30501111204,6.306274689,4,0.53321046,177.73682,network,"LINESTRING(153.0213241 -27.4620025,153.0216041 -27.4604181)",30501111112_30501111204,Kurilpa Bridge
193718,6385,30501111112,30501111204,6.306274689,5,0.02787066,9.29022,network,"LINESTRING(153.0213447 -27.4620843,153.0213241 -27.4620025)",30501111112_30501111204,Kurilpa Bridge
6385,156120,30501111112,30501111204,6.306274689,6,0.17772693,59.24231,network,"LINESTRING(153.021141 -27.4625871,153.0213447 -27.4620843)",30501111112_30501111204,Kurilpa Bridge
156120,9520,30501111112,30501111204,6.306274689,7,0.14084964,46.94988,network,"LINESTRING(153.0209686 -27.4629819,153.021141 -27.4625871)",30501111112_30501111204,Kurilpa Bridge
9520,34471,30501111112,30501111204,6.306274689,8,0.17938773,59.79591,network,"LINESTRING(153.0207507 -27.4634853,153.0209686 -27.4629819)",30501111112_30501111204,Kurilpa Bridge
34471,101802,30501111112,30501111204,6.306274689,9,0.04262295,14.20765,network,"LINESTRING(153.0206989 -27.4636049,153.0207507 -27.4634853)",30501111112_30501111204,Kurilpa Bridge
101802,101803,30501111112,30501111204,6.306274689,10,0.09766467,32.55489,network,"LINESTRING(153.0206989 -27.4636049,153.0207495 -27.4638952)",30501111112_30501111204,Kurilpa Bridge
101803,101813,30501111112,30501111204,6.306274689,11,0.11247654,37.49218,network,"LINESTRING(153.0207495 -27.4638952,153.0207031 -27.464231)",30501111112_30501111204,Kurilpa Bridge
101813,101804,30501111112,30501111204,6.306274689,12,0.02995089,9.98363,network,"LINESTRING(153.0207031 -27.464231,153.0206915 -27.4643205)",30501111112_30501111204,Kurilpa Bridge
101804,101806,30501111112,30501111204,6.306274689,13,0.02953779,9.84593,network,"LINESTRING(153.0207478 -27.4643938,153.0206915 -27.4643205)",30501111112_30501111204,Kurilpa Bridge
101806,156124,30501111112,30501111204,6.306274689,14,0.020176182,7.47266,network,"LINESTRING(153.0207417 -27.464461,153.0207478 -27.4643938)",30501111112_30501111204,Kurilpa Bridge
156124,101815,30501111112,30501111204,6.306274689,15,0.020124936,7.45368,network,"LINESTRING(153.0207458 -27.4645277,153.0207417 -27.464461)",30501111112_30501111204,Kurilpa Bridge
101815,112489,30501111112,30501111204,6.306274689,16,0.013988214,5.18082,network,"LINESTRING(153.0207592 -27.4645729,153.0207458 -27.4645277)",30501111112_30501111204,Kurilpa Bridge
112489,112491,30501111112,30501111204,6.306274689,17,0.4943565,183.095,network,"LINESTRING(153.0216468 -27.4658646,153.0207592 -27.4645729)",30501111112_30501111204,Kurilpa Bridge
112491,294620,30501111112,30501111204,6.306274689,18,0.125365374,46.43162,network,"LINESTRING(153.0219581 -27.4661784,153.0216468 -27.4658646)",30501111112_30501111204,Kurilpa Bridge
294620,204109,30501111112,30501111204,6.306274689,19,0.016721235,6.19305,network,"LINESTRING(153.0219581 -27.4661784,153.0219098 -27.466214)",30501111112_30501111204,Kurilpa Bridge
