node_id,X,Y
0,153.0155616,-27.4673638
1,153.0176785,-27.4676063
3,153.0176871,-27.4676136
4,153.0355894,-27.4713629
5,153.0355925,-27.47132749
7,153.0356937,-27.4706195
8,153.0356978,-27.4613503
9,153.0357394,-27.4616538
10,153.0357498,-27.47378748
11,153.0356675,-27.4733991
12,153.0362361,-27.4746151
13,153.0358564,-27.4740506
16,153.0247785,-27.4599541
17,153.0250797,-27.459621
18,153.0245055,-27.4608368
19,153.0247538,-27.4599804
22,153.0263855,-27.4616953
23,153.0270295,-27.4623714
25,153.0276526,-27.4629905
26,153.0366616,-27.4691956
27,153.0371655,-27.4692029
28,153.0360924,-27.4692123
29,153.0366055,-27.4691972
32,153.0354201,-27.4706509
33,153.0353423,-27.47062495
35,153.0349331,-27.4706436
36,153.034295,-27.4712268
37,153.0344797,-27.471212
38,153.0289333,-27.473438
39,153.0282521,-27.4739692
40,153.0290197,-27.4733706
41,153.0289947,-27.4733901
44,153.0290754,-27.4733271
46,153.0305943,-27.4720604
47,153.0305836,-27.4721359
49,153.0304681,-27.4722411
51,153.0296487,-27.4728801
53,153.0295482,-27.4729585
56,153.0285872,-27.4753739
57,153.02887,-27.4758243
58,153.0301253,-27.4770914
59,153.0303528,-27.4772116
61,153.0304284,-27.4772738
63,153.030467,-27.4773519
64,153.0298095,-27.4767781
65,153.0298664,-27.4768346
69,153.0293481,-27.4763211
72,153.0306709,-27.472293
73,153.0306951,-27.4723246
74,153.0311391,-27.4780873
75,153.0312991,-27.4781805
76,153.028416,-27.4786864
77,153.028451,-27.4786953
79,153.0286207,-27.4787384
81,153.0290461,-27.4788021
83,153.0290971,-27.4787957
84,153.0305802,-27.4720296
85,153.0307022,-27.4720939
87,153.0305426,-27.4722589
91,153.030731,-27.4722885
94,153.0341123,-27.4626849
95,153.034582,-27.4623971
96,152.9847179,-27.478464
97,152.9846724,-27.47831615
99,152.9847498,-27.4781963
100,152.9809398,-27.4775758
101,152.9809538,-27.4778832
102,152.9861008,-27.4785836
103,152.986728,-27.4786017
104,152.9851514,-27.4782273
105,152.9853877,-27.4783984
108,153.0140447,-27.4576064
109,153.0152727,-27.4576113
110,153.0822094,-27.4333041
111,153.0826305,-27.4327506
112,153.076543,-27.4164498
113,153.076409,-27.4154548
114,153.0174963,-27.4605175
115,153.0183392,-27.4606364
117,153.018439,-27.4605955
118,153.0239547,-27.4577649
119,153.024775,-27.4583578
121,153.0249427,-27.4584891
123,153.0256553,-27.4590137
124,153.0273802,-27.4550796
125,153.0286162,-27.4559093
126,153.0266436,-27.454636
127,153.0267384,-27.4546644
130,153.0264254,-27.4555757
131,153.0268076,-27.4558615
