origin_zone,dest_zone,demand,length_metres
30101100101,30101100103,1.3279900889999994,2975.6807628599995
30101100101,30101100120,6.806923858999995,4408.5311477800005
30101100101,30101100133,1.4493641199999994,2464.0850187
30101100101,30101100442,2.362614715999999,5182.287037269999
30101100101,30102100727,1.7347321320000018,5648.796918919999
30101100101,30102100728,4.888352889999996,5401.631335259999
30101100101,30102100738,10.44359193000001,5085.09734439
30101100101,30102101324,1.583415709999998,12695.870440309995
30101100101,30103101824,1.3279900889999972,15499.413468500006
30101100101,30103102110,1.4528787380000017,17982.1833563
30101100101,30303106516,6.660588165000017,25745.97504706001
30101100102,30101100103,7.913022995000002,1723.2421702800002
30101100102,30101100133,3.4193239290000004,2898.6283461199996
30101100102,30101100311,1.6330893939999984,5988.117941480003
30101100102,30101100407,1.3436020510000002,5964.734934099999
30101100102,30101100433,3.403996819000003,3535.111658960001
30101100102,30101100606,12.842933399999994,8413.76810785
30101100102,30102100738,3.193466782000001,6163.035171810001
30101100102,30102100939,1.5851092450000057,19200.731317910002
30101100102,30102101219,1.4307912750000011,10418.678596579994
30101100102,30103101401,1.6732935640000042,30093.37842162001
30101100102,30501110621,1.6161888579999906,26222.845481389973
30101100103,30101100122,2.1937212370000005,4520.23173815
30101100103,30101100134,1.736100051999999,3840.115615920001
30101100103,30101100141,1.328706383,2361.1826705500002
30101100103,30102100903,1.719535248,14017.852013390002
30101100111,30101100116,6.165979286,1350.2029174200002
30101100111,30101100208,3.7669164280000014,12155.82597012001
30101100111,30101100403,2.5264574429999986,5435.55490781
30101100111,30101100407,1.4528787379999992,4688.950890200001
30101100111,30101100447,1.9989951780000008,6026.0272755199985
30101100111,30101100606,6.987514481000004,4750.383803949999
30101100111,30102100728,4.272144043000002,6131.19455878
30101100111,30103102031,1.3565453189999992,12890.211513148002
30101100111,30103102139,5.1660900269999965,14044.624401449999
30101100111,30203103603,1.958459442000004,30817.90730731999
30101100111,30303106411,1.707926971000004,15454.783808320002
30101100111,30501110531,2.034892365000011,25550.10201275998
30101100111,30502111735,1.4173381120000033,18755.67540385
30101100112,30101100607,1.858957747999998,5057.508733618998
30101100114,30101100112,1.7866704409999994,1178.8225477100002
30101100114,30101100116,3.4154873660000002,1278.95025399
30101100114,30101100407,5.8589670559999965,4211.520076770002
30101100114,30101100429,1.7866704409999985,4152.843739989999
30101100114,30102101213,1.705292297,7761.6138823599995
30101100114,30102101302,1.2374836200000028,13463.151454799998
