zone_id,zone_x,zone_y,node_id,node_x,node_y,length_metres,cost_minutes,WKT
30204104221,153.0515357,-27.30379091,73715,153.0512758,-27.3039658,32.20958993,0,"LINESTRING(153.051535711671 -27.303790914175,153.0512758 -27.3039658)"
30204104222,153.051587,-27.31014725,72083,153.0503558,-27.3107111,136.9453252,0,"LINESTRING(153.051586966667 -27.3101472488696,153.0503558 -27.3107111)"
30204104223,153.0577076,-27.28956879,73489,153.0573613,-27.2897872,41.96251606,0,"LINESTRING(153.057707569536 -27.289568792434,153.0573613 -27.2897872)"
30204104224,153.0492,-27.29101671,73586,153.0500838,-27.2912685,91.8320274,0,"LINESTRING(153.04920003359 -27.2910167104787,153.0500838 -27.2912685)"
30204104225,153.0610442,-27.30338992,73742,153.0608893,-27.302692,78.84091179,0,"LINESTRING(153.061044234319 -27.3033899156709,153.0608893 -27.302692)"
30204104226,153.063406,-27.28811425,138653,153.0632299,-27.287972,23.50086979,0,"LINESTRING(153.063405970194 -27.2881142481568,153.0632299 -27.287972)"
30204104227,153.0592653,-27.3045807,73807,153.0586646,-27.304844,66.22915617,0,"LINESTRING(153.059265254328 -27.3045806977098,153.0586646 -27.304844)"
30204104228,153.0552174,-27.28426719,73557,153.0537077,-27.2857929,225.6573943,0,"LINESTRING(153.055217389148 -27.2842671881799,153.0537077 -27.2857929)"
30204104229,153.0607217,-27.28942191,71236,153.059627,-27.2891945,111.2612118,0,"LINESTRING(153.060721650224 -27.289421914699,153.059627 -27.2891945)"
30204104230,153.0588301,-27.30719346,120969,153.0584978,-27.3070788,35.26208634,0,"LINESTRING(153.058830111989 -27.3071934627,153.0584978 -27.3070788)"
30204104301,153.0603677,-27.33172165,73942,153.0600286,-27.3324409,86.47560031,0,"LINESTRING(153.060367698983 -27.331721653393,153.0600286 -27.3324409)"
30204104302,153.0592999,-27.32816326,73905,153.0595655,-27.3288516,80.67510827,0,"LINESTRING(153.059299921071 -27.3281632632622,153.0595655 -27.3288516)"
30204104303,153.0634287,-27.33251849,73932,153.0626273,-27.3328684,88.28126167,0,"LINESTRING(153.063428736534 -27.3325184919167,153.0626273 -27.3328684)"
30204104305,153.0661696,-27.32539503,124274,153.0657902,-27.3255332,40.55401417,0,"LINESTRING(153.066169645892 -27.3253950288744,153.0657902 -27.3255332)"
30204104306,153.0630128,-27.32420846,71353,153.0628148,-27.3249066,79.80245354,0,"LINESTRING(153.063012787358 -27.3242084643077,153.0628148 -27.3249066)"
30204104307,153.0577414,-27.33326594,14477,153.0590385,-27.3329399,133.3508707,0,"LINESTRING(153.057741385081 -27.3332659440449,153.0590385 -27.3329399)"
30204104308,153.0534395,-27.33140164,73995,153.0528982,-27.332314,114.4105308,0,"LINESTRING(153.053439460886 -27.3314016423998,153.0528982 -27.332314)"
30204104309,153.0558969,-27.32362122,120335,153.0575349,-27.3214357,291.4280615,0,"LINESTRING(153.055896862488 -27.3236212198243,153.0575349 -27.3214357)"
30204104310,153.0680928,-27.32822994,183960,153.0682022,-27.3281374,14.91321541,0,"LINESTRING(153.068092779271 -27.3282299359969,153.0682022 -27.3281374)"
30204104401,153.0706621,-27.32350789,138339,153.0706792,-27.3226471,95.39808317,0,"LINESTRING(153.070662141097 -27.3235078916885,153.0706792 -27.3226471)"
30204104402,153.0722577,-27.31958248,138417,153.072723,-27.3200034,65.54653748,0,"LINESTRING(153.072257684062 -27.3195824811206,153.072723 -27.3200034)"
30204104403,153.0679083,-27.31518117,29033,153.0686484,-27.3155243,82.53090364,0,"LINESTRING(153.067908314958 -27.3151811719324,153.0686484 -27.3155243)"
30204104404,153.065043,-27.31708164,69363,153.06585,-27.3168613,83.51706111,0,"LINESTRING(153.065043045693 -27.3170816444322,153.06585 -27.3168613)"
30204104405,153.0677239,-27.3124632,118684,153.0681231,-27.3118362,79.92785351,0,"LINESTRING(153.06772388448 -27.312463203796,153.0681231 -27.3118362)"
30204104406,153.0699116,-27.31739715,29027,153.069303,-27.3164288,123.0541027,0,"LINESTRING(153.069911632755 -27.3173971464489,153.069303 -27.3164288)"
30204104407,153.0852237,-27.32784491,71017,153.0853326,-27.3279572,16.45852341,0,"LINESTRING(153.085223748032 -27.3278449050744,153.0853326 -27.3279572)"
30204104408,153.082568,-27.32433265,71095,153.0833792,-27.3241592,82.55001225,0,"LINESTRING(153.082568020503 -27.3243326535402,153.0833792 -27.3241592)"
30204104409,153.0791558,-27.32472932,71076,153.0788196,-27.3248864,37.55029479,0,"LINESTRING(153.079155792004 -27.3247293157237,153.0788196 -27.3248864)"
30204104410,153.0790653,-27.33027846,71142,153.0777722,-27.3293822,161.9856065,0,"LINESTRING(153.07906529213 -27.330278463544,153.0777722 -27.3293822)"
30204104411,153.0751058,-27.32465143,28940,153.0754826,-27.324488,41.45166953,0,"LINESTRING(153.075105844958 -27.3246514253892,153.0754826 -27.324488)"
30204104412,153.0569146,-27.31662736,69326,153.0569976,-27.316373,29.3573407,0,"LINESTRING(153.056914637097 -27.3166273631198,153.0569976 -27.316373)"
30204104413,153.0594818,-27.31222243,72055,153.0590545,-27.3115469,85.97604769,0,"LINESTRING(153.059481790244 -27.3122224297534,153.0590545 -27.3115469)"
30204104414,153.06156,-27.31119548,69354,153.0617996,-27.3114296,35.14578043,0,"LINESTRING(153.061560046217 -27.3111954800399,153.0617996 -27.3114296)"
30204104415,153.0659173,-27.30941982,29081,153.0654113,-27.3094113,50.09467896,0,"LINESTRING(153.065917310062 -27.3094198206906,153.0654113 -27.3094113)"
30204104416,153.0637022,-27.31023471,28987,153.0633527,-27.3096921,69.366732,0,"LINESTRING(153.063702186147 -27.3102347092197,153.0633527 -27.3096921)"
30204104417,153.0603297,-27.31416948,69335,153.0601179,-27.3141078,22.05384704,0,"LINESTRING(153.06032974545 -27.3141694829167,153.0601179 -27.3141078)"
30204104418,153.0517077,-27.31595542,144071,153.0515761,-27.314738,135.5278847,0,"LINESTRING(153.051707698482 -27.3159554203916,153.0515761 -27.314738)"
30204104419,153.0606847,-27.31821789,69323,153.062157,-27.3171134,190.2986055,0,"LINESTRING(153.060684676704 -27.3182178892251,153.062157 -27.3171134)"
30204104501,153.0470605,-27.33435814,119675,153.0471117,-27.3344192,8.452667967,0,"LINESTRING(153.047060500918 -27.3343581412155,153.0471117 -27.3344192)"
30204104504,153.046096,-27.33964476,117916,153.046036,-27.339691,7.839688055,0,"LINESTRING(153.046095964287 -27.3396447619177,153.046036 -27.339691)"
30204104506,153.0374289,-27.34209426,74273,153.0375681,-27.3419761,19.0075395,0,"LINESTRING(153.037428852306 -27.342094258476,153.0375681 -27.3419761)"
30204104508,153.051376,-27.34885298,74158,153.0516415,-27.348938,27.90643507,0,"LINESTRING(153.051376023438 -27.3488529779301,153.0516415 -27.348938)"
30204104509,153.0383644,-27.33859606,74326,153.0380872,-27.3386181,27.53685414,0,"LINESTRING(153.038364377527 -27.3385960603817,153.0380872 -27.3386181)"
30204104510,153.0482619,-27.34737878,91487,153.0482169,-27.3475428,18.71214658,0,"LINESTRING(153.048261908594 -27.3473787839967,153.0482169 -27.3475428)"
30204104514,153.0309251,-27.34422772,74255,153.0309536,-27.3439719,28.48726218,0,"LINESTRING(153.03092509877 -27.3442277215386,153.0309536 -27.3439719)"
30204104515,153.0344212,-27.34594704,74208,153.0340827,-27.3457107,42.51498331,0,"LINESTRING(153.034421172127 -27.3459470385784,153.0340827 -27.3457107)"
30204104516,153.0378176,-27.34808123,276416,153.0384551,-27.3490105,120.7566317,0,"LINESTRING(153.037817596508 -27.3480812272819,153.0384551 -27.3490105)"
30204104517,153.0396311,-27.34381394,227783,153.03958,-27.3442421,47.71226496,0,"LINESTRING(153.039631061194 -27.3438139397838,153.03958 -27.3442421)"
30204104519,153.0263119,-27.33944634,190600,153.0264161,-27.3395615,16.4091582,0,"LINESTRING(153.026311853128 -27.3394463368686,153.0264161 -27.3395615)"
30204104520,153.0432256,-27.33609877,321555,153.0440431,-27.3352299,125.7543007,0,"LINESTRING(153.043225594379 -27.3360987669213,153.0440431 -27.3352299)"
30204104521,153.0518455,-27.34091548,220443,153.051173,-27.3413725,83.62671049,0,"LINESTRING(153.051845530566 -27.3409154789319,153.051173 -27.3413725)"
30204104522,153.0326787,-27.34133191,120426,153.032542,-27.3412594,15.73246531,0,"LINESTRING(153.032678690293 -27.3413319105784,153.032542 -27.3412594)"
30204104523,153.030157,-27.34716155,74179,153.0301493,-27.3468095,39.01712667,0,"LINESTRING(153.030156962057 -27.3471615450422,153.0301493 -27.3468095)"
30204104525,153.0252224,-27.34033322,190562,153.0254291,-27.3405288,29.79741596,0,"LINESTRING(153.025222435821 -27.3403332209439,153.0254291 -27.3405288)"
30204104526,153.0285491,-27.34345921,160689,153.0282488,-27.3434668,29.72863098,0,"LINESTRING(153.028549115866 -27.3434592073242,153.0282488 -27.3434668)"
30204104527,153.0300126,-27.34122774,160629,153.030181,-27.3414243,27.42580835,0,"LINESTRING(153.030012570077 -27.3412277398428,153.030181 -27.3414243)"
30204104528,153.0276607,-27.34106959,203275,153.0279377,-27.3410896,27.49925346,0,"LINESTRING(153.027660704824 -27.341069587128,153.0279377 -27.3410896)"
30204104529,153.0416881,-27.34917881,141185,153.041648,-27.3493812,22.77591461,0,"LINESTRING(153.041688130893 -27.3491788058297,153.041648 -27.3493812)"
30204104530,153.0236991,-27.33729334,190675,153.0237946,-27.3371006,23.35534283,0,"LINESTRING(153.023699081624 -27.3372933385951,153.0237946 -27.3371006)"
30204104531,153.0298546,-27.33999018,160593,153.0298594,-27.3400681,8.647321939,0,"LINESTRING(153.029854638198 -27.3399901777847,153.0298594 -27.3400681)"
30204104532,153.0279073,-27.33972359,190597,153.0274991,-27.3397043,40.4526865,0,"LINESTRING(153.027907327889 -27.3397235948829,153.0274991 -27.3397043)"
30204104533,153.0269568,-27.34238202,222389,153.0269151,-27.3424413,7.756474249,0,"LINESTRING(153.026956793239 -27.3423820245451,153.0269151 -27.3424413)"
30204104534,153.0449577,-27.34944363,189467,153.044814,-27.349242,26.4810178,0,"LINESTRING(153.044957660629 -27.3494436305597,153.044814 -27.349242)"
30204104535,153.0415256,-27.33934452,188014,153.0418726,-27.3392157,37.19006372,0,"LINESTRING(153.04152555872 -27.3393445197543,153.0418726 -27.3392157)"
30204104536,153.0351368,-27.34136493,74373,153.0349185,-27.3417891,51.72917959,0,"LINESTRING(153.035136831694 -27.3413649321939,153.0349185 -27.3417891)"
30204104537,153.0517571,-27.34419395,74017,153.0511029,-27.3440944,65.66508651,0,"LINESTRING(153.051757082552 -27.3441939457569,153.0511029 -27.3440944)"
30204104539,153.0324046,-27.35065199,91465,153.0326121,-27.3507285,22.20951997,0,"LINESTRING(153.032404632999 -27.3506519934095,153.0326121 -27.3507285)"
